id,start_idx,end_idx,mention,gold id,
15,2503,2503,他,1,
15,2567,2568,阿Ｑ,1,
15,2589,2589,他,1,
15,2597,2597,他,1,
15,2614,2615,阿Ｑ,1,
15,2625,2625,他,1,
15,2648,2649,阿Ｑ,1,
15,2671,2671,他,1,
15,2696,2697,阿Ｑ,1,
15,2705,2705,他,1,
15,2730,2731,阿Ｑ,1,
15,2749,2749,你,14,
15,2764,2764,他,1,
15,2797,2798,阿Ｑ,1,
15,2805,2805,他,1,
15,2836,2836,他,1,
15,2846,2847,阿Ｑ,1,
15,2890,2891,阿Ｑ,1,
15,2902,2902,我,1,
15,2937,2938,阿Ｑ,1,
15,2959,2960,阿Ｑ,1,
15,2972,2972,他,1,
15,2991,2991,他,1,
15,3003,3003,他,1,
15,3007,3008,阿Ｑ,1,
15,3025,3026,自己,1,
15,3035,3036,阿Ｑ,1,
15,3044,3045,自己,1,
15,3066,3066,我,1,
16,2170,2172,文童者,11,
16,2210,2211,文童,11,
17,2268,2270,城里人,16,
17,2306,2308,城里人,16,
18,2370,2372,未庄人,17,
18,2388,2389,他们,17,
19,2659,2664,未庄的闲人们,14,
19,2677,2678,他们,14,
19,2724,2725,他们,14,
19,2828,2829,闲人,14,
19,2875,2876,闲人,14,
20,2860,2862,黄辫子,-1,
20,2991,2994,他黄辫子,-1,
20,3044,3047,自己的辫,-1,
21,3102,3102,他,1,
21,3124,3124,他,14,
21,3127,3128,阿Ｑ,1,
21,3144,3145,阿Ｑ,1,
21,3158,3158,他,1,
21,3161,3161,他,1,
21,3226,3227,阿Ｑ,1,
21,3296,3296,他,1,
21,3316,3317,阿Ｑ,1,
21,3332,3332,他,1,
21,3384,3385,阿Ｑ,1,
21,3407,3408,阿Ｑ,1,
21,3439,3439,他,1,
21,3510,3511,阿Ｑ,1,
21,3520,3520,他,1,
21,3574,3575,阿Ｑ,1,
21,3587,3587,他,1,
21,3598,3598,他,1,
21,3625,3625,他,1,
21,3641,3641,他,1,
21,3674,3674,他,1,
21,3724,3724,他,1,
21,3727,3727,他,1,
21,3746,3746,他,1,
21,3792,3792,他,1,
21,3822,3823,自己,1,
21,3837,3837,他,1,
21,3853,3853,他,1,
21,3862,3862,他,1,
21,3910,3911,自己,1,
21,3930,3931,自己,1,
21,3964,3964,他,1,
22,3198,3203,状元〔１９〕,-1,general concept
22,3215,3215,你,14,
23,3085,3086,闲人,14,
23,3237,3238,怨敌,14,
24,3384,3388,阿Ｑ的铜钱,-1,
24,3407,3410,阿Ｑ的钱,-1,
25,3307,3309,一堆人,18,
25,3446,3446,堆,18,
26,3530,3540,未庄赛神〔２２〕的晚上,-1,
26,3542,3544,这晚上,-1,
27,3349,3350,桩家,19,
27,3591,3592,桩家,19,
28,3746,3751,他的一堆洋钱,-1,
28,3779,3787,很白很亮的一堆洋钱,-1,
