,text,cat,start_token,end_token
177,半,FRACTION,1636,1637
178,半,FRACTION,1639,1640
179,肇廷,PERSON,1649,1650
180,雯青,PERSON,1654,1655
181,京,LOCATION,1656,1657
182,菶如,PERSON,1671,1672
183,美国,LOCATION,1678,1679
184,旗昌洋行,ORGANIZATION,1679,1681
185,」胜芝,PERSON,1683,1684
186,前天,DATE,1690,1691
187,中国,LOCATION,1710,1711
188,汉阳,LOCATION,1715,1716
189,重庆,LOCATION,1717,1718
190,南京,LOCATION,1719,1720
191,上海,LOCATION,1721,1722
192,基隆,LOCATION,1723,1724
193,台湾,LOCATION,1725,1726
194,长江,LOCATION,1738,1739
195,孔夫子,PERSON,1743,1744
196,言次,PERSON,1755,1756
197,太阳,LOCATION,1757,1758
198,胜芝,PERSON,1766,1767
199,肇廷,PERSON,1789,1790
200,菶如,PERSON,1793,1794
201,聘珠,PERSON,1795,1796
202,菶如,PERSON,1811,1812
203,唐卿,PERSON,1816,1817
204,玨斋,PERSON,1818,1819
205,肇廷,PERSON,1833,1834
206,两,INTEGER,1844,1845
207,玨,PERSON,1865,1866
208,何,PERSON,1868,1869
209,太真,PERSON,1871,1872
210,程,PERSON,1876,1877
211,朱,PERSON,1878,1879
212,唐卿,PERSON,1883,1884
213,肇廷,PERSON,1897,1898
214,唐卿,PERSON,1903,1904
215,玨斋,PERSON,1905,1906
216,菶如,PERSON,1917,1918
217,雯青,PERSON,1923,1924
