,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
13,v,u,m,q,v,n,v,u,r,w,t,c,d,v,w,t,v,w,v,v,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,r,r,q,n,w,d,v,v,n,w,d,v,i,w,v,n,v,w,d,v,v,v,w,d,v,v,r,v,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,r,w,d,v,p,ns,v,u,u,w,d,v,p,n,v,u,n,u,w,d,v,n,v,u,r,n,u,w,d,v,n,p,n,v,u,w,r,i,u,n,w,d,v,t,r,v,w,d,d,r,a,,,,,,,,
16,p,v,ns,m,w,m,q,n,w,v,r,n,p,j,u,n,d,v,m,q,v,v,w,p,a,n,n,w,v,m,n,c,v,a,w,v,w,d,v,v,n,w,p,a,n,f,w,n,n,a,n,,,,,,,,
17,nr,v,r,w,nr,n,c,n,d,v,n,d,d,v,n,w,v,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,d,v,m,q,n,n,w,d,v,v,p,n,w,v,v,a,x,w,d,v,w,d,d,v,v,n,w,d,v,r,v,n,x,,,,,,,,,,,,,,,,,,,,,,,,,,
19,t,t,f,n,nr,p,n,v,u,a,w,v,ns,w,d,r,v,ns,w,d,v,m,q,n,w,p,r,d,v,m,n,w,n,d,v,,,,,,,,,,,,,,,,,,,,,,,,
20,ns,v,v,r,v,v,ns,ns,w,v,v,s,d,a,w,ns,w,ns,w,ns,w,ns,u,n,d,v,n,w,r,d,v,v,ns,w,ns,w,ns,v,u,n,,,,,,,,,,,,,,,,,,,
21,v,u,v,w,m,q,n,d,d,v,w,r,n,u,n,d,a,a,u,v,v,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,v,r,v,v,r,v,r,n,n,n,u,n,n,w,r,n,d,d,v,v,r,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,n,w,d,v,v,w,v,v,w,v,v,w,d,w,d,v,p,n,v,v,n,u,n,n,x,v,x,u,v,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,c,r,w,r,u,n,w,r,u,n,w,w,r,v,u,nr,c,n,w,r,v,v,v,u,a,n,v,v,p,n,v,w,v,n,n,u,n,v,v,u,,,,,,,,,,,,,,,,,,,
25,p,ns,n,m,q,u,i,u,v,u,n,w,i,p,a,n,u,n,u,n,w,d,v,v,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,w,nr,v,w,w,d,v,x,w,n,u,n,v,a,u,w,n,v,w,d,a,v,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,w,n,v,x,w,v,v,n,p,r,n,v,p,n,v,n,u,n,v,x,w,c,r,v,v,w,d,p,r,v,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,w,n,v,v,w,w,r,d,c,n,v,w,v,d,v,u,n,n,x,w,n,d,d,a,v,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,v,u,n,w,n,f,d,v,a,n,u,n,w,d,v,d,v,v,n,w,r,d,v,v,v,w,r,n,s,v,v,m,q,n,d,v,,,,,,,,,,,,,,,,,,,,,,,
30,v,nr,n,d,v,w,d,v,m,a,u,n,i,w,i,w,v,p,f,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,r,n,n,f,i,w,p,nr,n,v,u,m,q,w,p,n,d,v,x,w,v,u,r,n,n,w,d,v,r,v,n,n,v,w,d,r,v,n,,,,,,,,,,,,,,,,,,,,,
32,r,n,f,n,w,d,v,u,m,q,w,nr,v,v,m,m,w,d,a,m,m,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,r,t,r,d,d,v,w,v,t,w,t,f,w,r,d,v,u,v,w,p,v,v,w,r,p,s,v,v,w,w,r,u,d,v,n,n,,,,,,,,,,,,,,,,,,,,,,,
34,w,nr,v,v,v,w,w,r,n,i,w,a,u,d,d,v,v,w,r,c,v,d,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,w,nr,v,u,n,w,w,c,v,u,v,n,w,n,r,r,q,v,w,v,u,n,a,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,d,n,f,j,n,f,w,d,v,m,q,v,v,u,n,w,d,v,v,n,w,r,v,w,v,v,nr,d,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,v,n,v,w,v,u,n,v,w,p,q,v,a,u,v,v,n,v,w,n,v,f,w,v,u,n,w,v,v,n,w,v,nr,nr,w,v,n,v,w,v,n,w,r,n,u,n,w,p,nr,v,p,n,v,x,,,,,
38,v,m,q,n,p,r,n,w,nz,n,v,u,n,w,v,m,q,w,d,v,u,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,v,a,n,w,p,n,m,n,w,v,v,v,w,m,v,w,v,s,v,w,v,m,q,n,w,v,d,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,v,n,d,v,v,u,m,n,nr,v,x,w,t,n,f,w,v,nr,d,v,v,r,w,r,v,v,n,v,u,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,v,v,v,w,v,p,r,v,w,p,r,v,a,u,n,v,u,m,w,p,v,n,d,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,n,v,nr,v,a,w,d,v,r,n,d,v,w,v,v,v,w,v,v,w,r,v,nr,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,c,n,v,v,w,p,v,v,w,n,t,d,v,n,w,d,v,v,u,nr,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,v,n,v,w,t,d,v,nr,n,u,n,w,c,u,a,w,d,v,i,u,n,v,n,w,n,v,n,w,v,n,v,v,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,nr,nr,v,p,n,v,w,d,p,r,n,v,w,d,v,v,n,v,w,v,r,r,v,r,v,q,n,w,v,r,u,n,n,w,n,d,d,v,,,,,,,,,,,,,,,,,,,,,
46,v,c,n,d,a,w,m,n,w,n,m,q,v,a,w,f,n,w,m,q,m,q,n,n,w,n,n,w,v,u,d,v,a,a,w,f,m,q,n,,,,,,,,,,,,,,,,,,,,
47,t,w,nr,n,d,v,ns,w,d,ns,u,n,w,n,d,a,w,i,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ns,w,r,q,n,w,v,r,c,n,a,u,d,v,u,nr,w,d,r,v,w,v,a,nr,r,v,u,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,c,nr,d,v,r,v,v,u,w,v,v,v,r,n,w,d,v,r,x,w,r,v,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,nr,nr,v,w,v,r,n,v,p,r,s,w,t,d,v,n,v,p,r,v,v,w,v,r,d,d,v,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
