,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
11,"(' 古久', 'nr')","('先生', 'n')","('的', 'u')","('陳年', 'n')","('流水', 'n')","('簿子', 'n')","('：這裡', 'nr')","('比喻', 'v')","('我', 'r')","('國封建', 'n')","('主義統治', 'a')","('的', 'u')","('長', 'n')","('久', 'a')","('歷史', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"('他們', 'nr')","('可是', 'v')","('父子', 'n')","('兄弟', 'n')","('夫婦', 'PER')","('朋友', 'n')","('師生仇敵', 'nr')","('和', 'c')","('各不相識', 'a')","('的', 'u')","('人', 'n')","('，', 'v')","('都', 'd')","('結', 'v')","('成', 'v')","('一伙', 'm')","('，', 'n')","('互相', 'd')","('勸', 'v')","('勉，', 'v')","('互相', 'd')","('牽掣', 'v')","('，死', 'v')","('也', 'd')","('不肯', 'v')","('跨過', 'v')","('這', 'v')","('一步', 'm')",,,,,,,,,,,,,,,,,
13,"('有', 'v')","('了', 'u')","('四千年', 'TIME')","('吃', 'v')","('人', 'n')","('履歷', 'v')","('的', 'u')","('我', 'r')","('，當初雖然', 'nr')","('不知道', 'v')","('，現在', 'v')","('明白', 'v')","('，難見', 'nr')","('真', 'a')","('的', 'u')","('人', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"('他們這群人，', 'nr')","('又', 'd')","('想吃', 'v')","('人', 'n')","('，', 'v')","('又', 'd')","('是', 'v')","('鬼鬼祟祟，', 'a')","('想法子', 'n')","('遮掩', 'v')","('，', 'v')","('不敢', 'v')","('直截', 'v')","('下手，', 'v')","('真', 'd')","('要', 'v')","('令', 'v')","('我', 'r')","('笑死', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,
15,"('他們——', 'nr')","('也有', 'v')","('給知縣', 'nr')","('打', 'v')","('枷', 'n')","('過', 'v')","('的', 'u')","('，', 'n')","('也有', 'v')","('給紳士掌', 'nr')","('過', 'v')","('嘴', 'n')","('的', 'u')","('，', 'n')","('也有', 'v')","('衙役', 'n')","('佔', 'v')","('了', 'u')","('他', 'r')","('妻子', 'n')","('的', 'u')","('，', 'n')","('也有', 'v')","('老子娘', 'n')","('被', 'p')","('債', 'v')","('主', 'n')","('逼死', 'v')","('的', 'u')","('；他們', 'nr')","('那', 'r')","('時候', 'n')","('的', 'u')","('臉色', 'n')","('，', 'n')","('全', 'd')","('沒有', 'v')","('昨天', 'TIME')","('這麼', 'nr')","('怕', 'v')","('，', 'n')","('也', 'd')","('沒有', 'v')","('這麼', 'nr')","('凶', 'a')"
16,"('在', 'p')","('研究', 'v')","('以赛亚三十三、', 'nz')","('三十四章', 'm')","('时', 'n')","('，', 'v')","('深信一切差会', 'nt')","('在', 'p')","('华', 'ns')","('的', 'u')","('机构', 'n')","('都', 'd')","('有', 'v')","('一天', 'TIME')","('要', 'v')","('消', 'v')","('没', 'v')","('，', 'v')","('在', 'p')","('大', 'a')","('磨难', 'n')","('时', 'n')","('，', 'n')","('有', 'v')","('许多人', 'n')","('因', 'p')","('惧怕', 'v')","('冷淡、跌倒，', 'nz')","('不敢', 'v')","('承认', 'v')","('主，', 'n')","('经过', 'p')","('大', 'a')","('磨难', 'n')","('后', 'f')","('，', 'v')","('人', 'n')","('心方', 'n')","('饥渴', 'a')","('慕义', 'n')",,,,,
17,"('金笔', 'n')","('告诉我', 'n')","('，', 'v')","('金地', 'n')","('夫妇', 'n')","('因为', 'p')","('孩子', 'n')","('不肯', 'v')","('穿衣', 'v')","('便', 'd')","('大打', 'v')","('孩子', 'n')","('，', 'v')","('成为', 'v')","('全乡', 'n')","('笑料', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"('最初', 'ad')","('打', 'v')","('几条', 'm')","('鱼', 'n')","('时', 'n')","('，', 'n')","('尚', 'd')","('知', 'v')","('归', 'v')","('荣耀', 'an')","('于', 'p')","('神，', 'nr')","('打鱼', 'v')","('打', 'v')","('多', 'a')","('了', 'u')","('，', 'n')","('就', 'd')","('喧宾夺', 'v')","('主', 'n')","('，', 'v')","('不', 'd')","('将', 'p')","('荣耀', 'an')","('归于', 'v')","('神，', 'nr')","('反自', 'd')","('夸', 'v')","('自己', 'r')","('是', 'v')","('老手', 'n')","('了', 'xc')",,,,,,,,,,,,,
19,"('七月三日内', 'TIME')","('人', 'n')","('锦华', 'PER')","('因', 'p')","('小孩子', 'n')","('病', 'v')","('得', 'u')","('厉害', 'a')","('，', 'n')","('赶回', 'v')","('上海', 'LOC')","('；', 'v')","('同日', 'TIME')","('我', 'r')","('来', 'v')","('香山', 'LOC')","('，', 'v')","('暂', 'd')","('租', 'v')","('一座', 'm')","('房子', 'n')","('，', 'v')","('在这里', 'd')","('已有', 'v')","('一个月', 'TIME')","('，', 'v')","('伤口', 'n')","('将近', 'd')","('痊愈', 'v')",,,,,,,,,,,,,,,,
20,"('温岭', 'LOC')","('会', 'v')","('毕后', 't')","('我', 'r')","('理当', 'v')","('去', 'v')","('山东', 'LOC')","('峄县', 'LOC')","('，', 'n')","('要', 'v')","('去', 'v')","('北方', 's')","('非常', 'd')","('危险', 'a')","('，平阳、瑞安、', 'nz')","('南昌', 'LOC')","('、', 'v')","('福建', 'LOC')","('等', 'u')","('地', 'n')","('都', 'd')","('有', 'v')","('呼声', 'n')","('，', 'v')","('我', 'r')","('已经', 'd')","('去', 'v')","('信', 'v')","('取消', 'v')","('去', 'v')","('峄县', 'LOC')","('、', 'v')","('济南', 'LOC')","('、', 'v')","('烟台', 'LOC')","('领会', 'v')","('的', 'u')","('邀请', 'vn')",,,,,,,
21,"('使', 'v')","('勁', 'v')","('地', 'u')","('抽', 'v')","('著', 'u')","('，', 'v')","('一口', 'm')","('煙還沒', 'nr')","('有', 'v')","('吃', 'v')","('完', 'v')","('，', 'v')","('何', 'r')","('八爺', 'm')","('的', 'u')","('心思', 'n')","('又', 'd')","('火一樣', 'v')","('地燃', 'v')","('燒', 'v')","('起來', 'v')","('了', 'xc')",,,,,,,,,,,,,,,,,,,,,,,
22,"('假使', 'c')","('這回', 'nr')","('沒有', 'v')","('這個', 'n')","('叫做', 'v')","('什麼「電網」', 'nr')","('的', 'u')","('撈什子', 'PER')","('東西，', 'v')","('他', 'r')","('全家', 'n')","('決', 'v')","('不', 'd')","('會', 'v')","('弄成', 'v')","('這個', 'v')","('樣子', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"('孩子', 'n')","('們，', 'nr')","('最初', 'ad')","('是', 'v')","('鬧', 'v')","('著', 'u')","('，', 'n')","('叫', 'v')","('著', 'u')","('，', 'n')","('要', 'v')","('吃', 'v')","('；隨後，', 'nz')","('便', 'd')","('躺', 'v')","('在', 'p')","('艙板', 'n')","('上', 'f')","('抱', 'v')","('著', 'u')","('乾癟', 'n')","('的', 'u')","('肚皮', 'n')","('哇啦', 'xc')","('哇啦', 'xc')","('地', 'u')","('哭', 'v')","('起來', 'v')",,,,,,,,,,,,,,,,,
24,"('只有', 'c')","('他', 'r')","('，', 'v')","('他', 'r')","('的', 'u')","('父親', 'n')","('，', 'v')","('他', 'r')","('的', 'u')","('牛，…', 'PER')","('…', 'v')","('他', 'r')","('拋', 'v')","('下', 'v')","('了', 'u')","('老娘', 'n')","('和', 'c')","('妻子', 'n')","('，', 'v')","('他', 'r')","('跑', 'v')","('出來', 'v')","('當兵', 'n')","('的', 'u')","('唯一', 'a')","('目的', 'n')","('是', 'v')","('要', 'v')","('替', 'p')","('父親', 'n')","('報仇', 'v')","('雪恨，作個', 'nr')","('把', 'p')","('大小', 'n')","('的', 'u')","('官兒', 'n')","('回去', 'v')","('吐', 'v')","('氣揚眉', 'PER')","('的', 'u')",,,,,
25,"('當那寒雲', 'nr')","('一', 'm')","('層層', 'v')","('地', 'u')","('不住', 'v')","('地', 'u')","('加厚', 'v')","('的', 'u')","('時候，', 'nz')","('差不多', 'd')","('把', 'p')","('整個', 'v')","('貧民窟', 'n')","('的', 'u')","('人們', 'n')","('的', 'u')","('心', 'n')","('兒，', 'nr')","('都', 'd')","('吊起來', 'v')","('了', 'xc')",,,,,,,,,,,,,,,,,,,,,,,,
26,"('”賈母說道：“', 'nr')","('又', 'd')","('胡說', 'v')","('了', 'u')","('，', 'n')","('帳子', 'n')","('的', 'u')","('檐子', 'n')","('是', 'v')","('紅', 'n')","('的', 'u')","('，火光照著，自然紅', 'nz')","('是', 'v')","('有', 'v')","('的', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"('”紫鵑', 'nr')","('听', 'v')","('了', 'u')","('，', 'n')","('赶', 'v')","('著命', 'n')","('小丫', 'PER')","('頭們將這風箏', 'nr')","('送出', 'v')","('与', 'p')","('園門', 'n')","('上', 'f')","('值日', 'v')","('的', 'u')","('婆子', 'n')","('去', 'v')","('了', 'u')","('，倘', 'PER')","('有人', 'r')","('來', 'v')","('找', 'v')","('，', 'n')","('好', 'd')","('与', 'p')","('他們', 'nr')","('去', 'v')","('的', 'u')",,,,,,,,,,,,,,,,,,
28,"('”平儿笑道：“', 'nr')","('你', 'r')","('只', 'd')","('和', 'p')","('老太太', 'n')","('說，', 'nr')","('就', 'd')","('說', 'v')","('已', 'd')","('經', 'v')","('給', 'v')","('了', 'u')","('璉', 'n')","('二爺', 'm')","('了', 'u')","('，大老爺', 'nr')","('就', 'd')","('不好要', 'a')","('了', 'xc')",,,,,,,,,,,,,,,,,,,,,,,,,,
29,"('收', 'v')","('糧', 'n')","('的', 'u')","('時侯，衙門', 'nz')","('里', 'f')","('便', 'd')","('說', 'v')","('新道爺', 'n')","('的', 'u')","('法令', 'n')","('，明', 'PER')","('是', 'v')","('不敢', 'v')","('要', 'v')","('錢，這一留難叨蹬，', 'nr')","('那些', 'r')","('鄉民', 'v')","('心里', 's')","('愿意', 'v')","('花', 'v')","('几個錢', 'm')","('早早', 'd')","('了事', 'v')",,,,,,,,,,,,,,,,,,,,,,
30,"('只見王', 'nw')","('夫人', 'n')","('气色', 'n')","('更', 'd')","('變', 'v')","('，', 'n')","('只', 'd')","('帶一個', 'v')","('貼', 'v')","('己', 'r')","('的', 'u')","('小丫頭', 'nr')","('走來', 'v')","('，一語', 'nr')","('不', 'd')","('發，', 'v')","('走', 'v')","('至', 'p')","('里間', 'PER')","('坐下', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,
31,"('這西門慶', 'nr')","('心中', 's')","('大怒', 'a')","('，', 'n')","('把', 'p')","('孫雪娥', 'nr')","('打', 'v')","('了', 'u')","('一頓', 'm')","('，', 'v')","('被', 'p')","('月娘', 'nr')","('再三', 'd')","('勸', 'v')","('了', 'u')","('，拘', 'v')","('了', 'u')","('他', 'r')","('頭', 'v')","('面', 'n')","('衣服', 'n')","('，', 'n')","('只', 'd')","('教', 'v')","('他', 'r')","('伴', 'v')","('著', 'u')","('家人媳', 'n')","('婦', 'v')","('上', 'v')","('竈，', 'nr')","('不許', 'v')","('他', 'r')","('見人', 'v')",,,,,,,,,,,
32,"('其餘酒店中家活，', 'nt')","('共', 'd')","('算', 'v')","('了', 'u')","('五十兩', 'm')","('，陳敬濟狀', 'nr')","('上', 'f')","('告', 'v')","('著', 'u')","('九百兩，還', 'nr')","('差', 'v')","('三百五十兩', 'm')","('銀子', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"('這', 'nr')","('一日', 'TIME')","('你', 'r')","('也', 'd')","('莫來，', 'PER')","('直至', 'p')","('第三日', 'TIME')","('，晌午', 'nr')","('前後', 'v')","('，', 'v')","('你', 'r')","('整整', 'd')","('齊齊', 'v')","('打扮', 'v')","('了', 'u')","('來，', 'nr')","('以', 'p')","('咳嗽', 'v')","('為號', 'nr')","('，', 'v')","('你', 'r')","('在', 'p')","('門', 'n')","('前', 'f')","('叫', 'v')","('道：‘', 'nr')","('怎', 'r')","('的', 'u')","('連日不見', 'v')","('王乾娘', 'PER')",,,,,,,,,,,,,,,
34,"('”張川兒', 'nr')","('接', 'v')","('過來道：“', 'nr')","('你', 'r')","('老人家', 'n')","('不', 'd')","('說', 'v')","('，', 'v')","('小', 'a')","('的', 'u')","('也', 'd')","('不敢', 'v')","('說', 'v')","('，這個', 'nr')","('可是', 'd')","('使', 'v')","('不', 'd')","('的', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"('”西門慶', 'nr')","('聽', 'v')","('了', 'u')","('大喜道', 'LOC')","('：“雖然', 'nr')","('上', 'f')","('不得', 'v')","('凌煙閣，乾娘', 'nr')","('你', 'r')","('這條', 'nr')","('計', 'v')","('，端', 'n')","('的', 'u')","('絕品', 'n')","('好', 'a')","('妙計', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"('即', 'd')","('將', 'v')","('洞中', 's')","('大小', 'n')","('妖精', 'n')","('點', 'v')","('起', 'v')","('，', 'n')","('果然', 'd')","('選出', 'v')","('三個', 'm')","('有', 'v')","('能', 'v')","('的', 'u')","('小妖', 'n')","('，俱變', 'v')","('做', 'v')","('老妖', 'n')","('，', 'v')","('各', 'r')","('執', 'v')","('鐵', 'v')","('杵，', 'nr')","('埋伏', 'v')","('等待', 'v')","('唐僧', 'PER')","('不', 'd')","('題', 'v')",,,,,,,,,,,,,,,,,
37,"('」行者', 'nr')","('上前', 'v')","('，奪過刀來，', 'nr')","('把', 'p')","('個', 'n')","('穿', 'v')","('黃', 'n')","('的', 'u')","('割', 'v')","('下', 'v')","('頭來，血淋淋', 'nr')","('提', 'v')","('在', 'p')","('手中', 's')","('，收', 'v')","('了', 'u')","('鐵棒，', 'nr')","('拽', 'v')","('開', 'v')","('雲步，趕', 'nr')","('到', 'v')","('唐僧', 'PER')","('馬', 'v')","('前', 'f')","('，', 'v')","('提', 'v')","('著頭道：「師父，這', 'nz')","('是', 'v')","('楊老兒', 'nr')","('的', 'u')","('逆子', 'n')","('，', 'v')","('被', 'p')","('老孫', 'PER')","('取', 'v')","('將首', 'n')","('級來', 'PER')","('也', 'd')",,,,,,,
38,"('煩二位道長將這裏', 'nr')","('地名', 'n')","('，君王好道愛賢', 'PER')","('之', 'u')","('事', 'n')","('，細', 'nr')","('說', 'v')","('一遍', 'm')","('，足', 'v')","('見', 'v')","('同道', 'n')","('之', 'u')","('情', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"('」', 'v')","('好', 'a')","('猴', 'n')","('王，', 'PER')","('將身一縱，', 'v')","('跳起', 'v')","('去', 'v')","('，一路觔斗，', 'nr')","('直至', 'p')","('北下', 'LOC')","('觀看', 'v')","('，見', 'v')","('一座', 'm')","('高山', 'n')","('，', 'n')","('真是', 'd')","('十分', 'd')","('險峻', 'a')",,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"('有', 'v')","('東土大唐遠來取經', 'nz')","('的', 'u')","('一個聖僧孫長', 'nr')","('老', 'd')","('揭', 'v')","('了', 'u')","('，現在會同館內，', 'nr')","('要', 'v')","('王親', 'PER')","('自', 'r')","('去', 'v')","('請', 'v')","('他', 'r')","('，', 'v')","('他', 'r')","('有手到', 'v')","('病', 'n')","('除', 'v')","('之', 'u')","('功', 'n')",,,,,,,,,,,,,,,,,,,,,,,,
41,"('」言畢', 'nr')","('起身', 'v')","('，付', 'v')","('著', 'u')","('與', 'v')","('他', 'r')","('看', 'v')","('，朝這些無', 'nr')","('考究', 'a')","('的', 'u')","('人', 'n')","('作', 'v')","('了', 'u')","('半截揖，', 'nr')","('跟', 'v')","('著', 'u')","('蒼頭', 'v')","('便', 'd')","('走', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,
42,"('玉狐見', 'nz')","('周生', 'PER')","('說話親切，', 'nz')","('便知', 'v')","('其', 'r')","('心', 'n')","('已', 'd')","('動', 'v')","('，', 'n')","('乃含笑', 'v')","('答道', 'v')","('：「萍水相逢，', 'nr')","('何', 'r')","('敢', 'v')","('周公子', 'PER')","('拜訪', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"('倘若', 'c')","('妖狐', 'n')","('回', 'v')","('頭苦煉，', 'nr')","('向善', 'v')","('改', 'v')","('惡', 'n')","('，', 'v')","('山人', 'n')","('今日', 'TIME')","('一', 'm')","('施恩惠，', 'nr')","('便', 'd')","('可', 'v')","('保住', 'v')","('了', 'u')","('金丹大道', 'LOC')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"('」', 'v')","('主意', 'n')","('想', 'v')","('妥，頃', 'nz')","('刻', 'v')","('仍', 'd')","('復成', 'v')","('胡小姐', 'PER')","('的', 'u')","('模樣，', 'nz')","('那', 'r')","('等', 'u')","('好看', 'a')","('，', 'n')","('真', 'd')","('似生', 'v')","('來', 'v')","('的', 'u')","('秋水為神玉為骨，芙蓉如面柳如眉，整注游龍', 'nz')","('不足', 'a')","('比喻', 'n')",,,,,,,,,,,,,,,,,,,,,,,,
45,"('」況周生', 'nr')","('自', 'p')","('與玉狐', 'nr')","('相遇', 'v')","('，', 'n')","('已', 'd')","('被', 'p')","('他', 'r')","('幻術', 'v')","('攏', 'v')","('住', 'v')","('，莫說無', 'nr')","('人', 'n')","('指', 'v')","('破', 'v')","('，', 'n')","('即', 'v')","('此', 'r')","('有人', 'r')","('說', 'v')","('他', 'r')","('是', 'v')","('個妖精，見', 'nz')","('此', 'r')","('等', 'u')","('美貌', 'n')","('多情', 'n')","('，', 'v')","('公子', 'n')","('亦', 'd')","('不', 'd')","('相信', 'v')",,,,,,,,,,,,,
46,"('看', 'v')","('著', 'u')","('那', 'r')","('船', 'n')","('很', 'd')","('寬敞', 'a')","('，', 'n')","('一個', 'm')","('中', 'f')","('艙，方方一丈來大，兩面短欄，', 'nz')","('一排', 'm')","('六扇玻璃蕉葉窗，', 'nz')","('炕床', 'n')","('桌椅', 'n')","('，鋪設', 'v')","('得', 'u')","('很', 'd')","('為', 'v')","('整', 'a')","('齊', 'q')","('潔淨，裏面三個房艙', 'nz')",,,,,,,,,,,,,,,,,,,,,,,,
47,"('一日', 'TIME')","('，薩克森船', 'nz')","('正過', 'v')","('地', 'u')","('中海，將近', 'ns')","('意大利', 'LOC')","('的', 'u')","('火山', 'n')","('，時', 'v')","('正清早，曉色蒼然', 'nz')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"('伯黻', 'PER')","('，這', 'nr')","('件', 'q')","('事', 'n')","('，笑庵', 'PER')","('自己', 'r')","('和', 'c')","('親', 'n')","('供', 'v')","('一般', 'a')","('地', 'u')","('全', 'd')","('告訴', 'v')","('了', 'u')","('小玉，', 'PER')","('不必', 'd')","('他', 'r')","('講，', 'nr')","('叫', 'v')","('小玉', 'PER')","('替', 'p')","('他', 'r')","('講', 'v')","('得了', 'v')",,,,,,,,,,,,,,,,,,,,,
49,"('況且加克奈夫', 'PER')","('又', 'd')","('是', 'v')","('她', 'r')","('素來厭恨', 'v')","('的', 'u')","('，', 'n')","('上', 'f')","('回談', 'v')","('起', 'v')","('他', 'r')","('名氏', 'n')","('，還罵', 'nr')","('他', 'r')","('哩，', 'nr')","('如何', 'r')","('倒嫁', 'v')","('他', 'r')",,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"('」子固道：「這事包', 'nz')","('在', 'p')","('我', 'r')","('身上', 's')","('，', 'v')","('明天', 'TIME')","('就叫', 'v')","('人', 'n')","('去', 'v')","('和', 'p')","('他', 'r')","('開談判', 'v')","('，', 'v')","('料', 'n')","('他', 'r')","('也', 'd')","('不敢', 'v')","('不依', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,
