,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
11,"('\uf7a2', 'w')","('古久', 'nr')","('先生', 'n')","('的', 'u')","('陳年', 'b')","('流水', 'n')","('簿子', 'n')","('：', 'w')","('這裡', 'r')","('比喻', 'v')","('我國', 'n')","('封建主義', 'n')","('統治', 'vn')","('的', 'u')","('長久', 'a')","('歷史', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"('他們', 'r')","('可是', 'd')","('父子', 'n')","('兄弟', 'n')","('夫婦', 'n')","('朋友', 'n')","('師生', 'n')","('仇敵', 'n')","('和', 'c')","('各', 'r')","('不', 'd')","('相識', 'v')","('的', 'u')","('人', 'n')","('，', 'w')","('都', 'd')","('結成', 'v')","('一伙', 'n')","('，', 'w')","('互相', 'd')","('勸勉', 'v')","('，', 'w')","('互相', 'd')","('牽掣', 'v')","('，', 'w')","('死', 'v')","('也', 'd')","('不肯', 'v')","('跨過', 'v')","('這', 'r')","('一', 'm')","('步', 'q')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"('有', 'v')","('了', 'u')","('四千', 'm')","('年', 'q')","('吃', 'v')","('人', 'n')","('履歷', 'n')","('的', 'u')","('我', 'r')","('，', 'w')","('當初', 't')","('雖然', 'c')","('不', 'd')","('知道', 'v')","('，', 'w')","('現在', 't')","('明白', 'v')","('，', 'w')","('難', 'ad')","('見', 'v')","('真的', 'a')","('人', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"('他們', 'r')","('這', 'r')","('群', 'q')","('人', 'n')","('，', 'w')","('又', 'c')","('想', 'v')","('吃', 'v')","('人', 'n')","('，', 'w')","('又', 'c')","('是', 'v')","('鬼鬼祟祟', 'i')","('，', 'w')","('想', 'v')","('法子', 'n')","('遮掩', 'v')","('，', 'w')","('不敢', 'v')","('直截下手', 'i')","('，', 'w')","('真', 'd')","('要', 'v')","('令', 'v')","('我', 'r')","('笑', 'v')","('死', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"('他們', 'r')","('—', 'w')","('—', 'w')","('也', 'd')","('有', 'v')","('給', 'p')","('知縣', 'n')","('打', 'v')","('枷', 'Ng')","('過', 'u')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('給', 'p')","('紳士', 'n')","('掌', 'v')","('過', 'u')","('嘴', 'n')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('衙役', 'n')","('佔', 'v')","('了', 'u')","('他', 'r')","('妻子', 'n')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('老子', 'n')","('娘', 'n')","('被', 'p')","('債主', 'n')","('逼死', 'v')","('的', 'u')","('；', 'w')","('他們', 'r')","('那時候', 'r')","('的', 'u')","('臉色', 'n')","('，', 'w')","('全', 'd')","('沒有', 'd')","('昨天', 't')","('這麼', 'r')","('怕', 'v')","('，', 'w')","('也', 'd')","('沒有', 'd')","('這麼', 'r')","('凶', 'a')",,,,,,,
16,"('在', 'p')","('研究', 'v')","('以赛亚', 'nr')","('三十三', 'm')","('、', 'w')","('三十四', 'm')","('章', 'q')","('时', 'Ng')","('，', 'w')","('深信', 'v')","('一切', 'r')","('差', 'a')","('会', 'n')","('在', 'p')","('华', 'j')","('的', 'u')","('机构', 'n')","('都', 'd')","('有一天', 'l')","('要', 'v')","('消没', 'v')","('，', 'w')","('在', 'p')","('大', 'a')","('磨难', 'n')","('时', 'Ng')","('，', 'w')","('有', 'v')","('许多', 'm')","('人', 'n')","('因', 'p')","('惧怕', 'v')","('冷淡', 'a')","('、', 'w')","('跌倒', 'v')","('，', 'w')","('不敢', 'v')","('承认', 'v')","('主', 'n')","('，', 'w')","('经过', 'v')","('大', 'a')","('磨难', 'n')","('后', 'f')","('，', 'w')","('人心', 'n')","('方', 'd')","('饥渴', 'n')","('慕', 'v')","('义', 'Ng')",,,,,,,,,,,
17,"('金笔', 'n')","('告诉', 'v')","('我', 'r')","('，', 'w')","('金地', 'nr')","('夫妇', 'n')","('因为', 'c')","('孩子', 'n')","('不肯', 'v')","('穿衣', 'v')","('便', 'd')","('大', 'd')","('打', 'v')","('孩子', 'n')","('，', 'w')","('成为', 'v')","('全', 'a')","('乡', 'n')","('笑料', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"('最初', 't')","('打', 'v')","('几', 'm')","('条', 'q')","('鱼', 'n')","('时', 'Ng')","('，', 'w')","('尚', 'd')","('知', 'v')","('归', 'v')","('荣耀', 'a')","('于', 'p')","('神', 'n')","('，', 'w')","('打鱼', 'v')","('打', 'v')","('多', 'a')","('了', 'y')","('，', 'w')","('就', 'd')","('喧宾夺主', 'i')","('，', 'w')","('不', 'd')","('将', 'p')","('荣耀', 'an')","('归于', 'v')","('神', 'n')","('，', 'w')","('反', 'd')","('自夸', 'v')","('自己', 'r')","('是', 'v')","('老手', 'n')","('了', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"('七月', 't')","('三', 'm')","('日', 'q')","('内人', 'n')","('锦华', 'nr')","('因', 'c')","('小孩子', 'n')","('病', 'v')","('得', 'u')","('厉害', 'a')","('，', 'w')","('赶回', 'v')","('上海', 'ns')","('；', 'w')","('同日', 'd')","('我', 'r')","('来', 'v')","('香山', 'ns')","('，', 'w')","('暂', 'd')","('租', 'v')","('一', 'm')","('座', 'q')","('房子', 'n')","('，', 'w')","('在', 'p')","('这里', 'r')","('已', 'd')","('有', 'v')","('一个', 'm')","('月', 'n')","('，', 'w')","('伤口', 'n')","('将近', 'v')","('痊愈', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,
20,"('温岭', 'ns')","('会', 'v')","('毕', 'v')","('后', 'f')","('我', 'r')","('理当', 'v')","('去', 'v')","('山东', 'ns')","('峄县', 'ns')","('，', 'w')","('要', 'v')","('去', 'v')","('北方', 's')","('非常', 'd')","('危险', 'a')","('，', 'w')","('平阳', 'ns')","('、', 'w')","('瑞安', 'ns')","('、', 'w')","('南昌', 'ns')","('、', 'w')","('福建', 'ns')","('等', 'u')","('地', 'n')","('都', 'd')","('有', 'v')","('呼声', 'n')","('，', 'w')","('我', 'r')","('已经', 'd')","('去信', 'v')","('取消', 'v')","('去', 'v')","('峄县', 'ns')","('、', 'w')","('济南', 'ns')","('、', 'w')","('烟台', 'ns')","('领会', 'v')","('的', 'u')","('邀请', 'vn')",,,,,,,,,,,,,,,,,,,
21,"('使勁', 'v')","('地', 'u')","('抽', 'v')","('著', 'v')","('，', 'w')","('一', 'm')","('口', 'q')","('煙', 'n')","('還', 'd')","('沒有', 'd')","('吃完', 'v')","('，', 'w')","('何八爺', 'nr')","('的', 'u')","('心思', 'n')","('又', 'd')","('火', 'n')","('一樣', 'u')","('地', 'u')","('燃燒', 'v')","('起來', 'v')","('了', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"('假使', 'c')","('這回', 'r')","('沒有', 'v')","('這個', 'r')","('叫做', 'v')","('什麼', 'r')","('「', 'w')","('電網', 'n')","('」', 'w')","('的', 'u')","('撈', 'v')","('什子', 'r')","('東西', 'n')","('，', 'w')","('他', 'r')","('全家', 'n')","('決不', 'd')","('會', 'v')","('弄成', 'v')","('這個', 'r')","('樣子', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"('孩子', 'n')","('們', 'k')","('，', 'w')","('最初', 't')","('是', 'v')","('鬧', 'v')","('著', 'u')","('，', 'w')","('叫', 'v')","('著', 'u')","('，', 'w')","('要', 'v')","('吃', 'v')","('；', 'w')","('隨後', 'd')","('，', 'w')","('便', 'd')","('躺', 'v')","('在', 'p')","('艙板', 'n')","('上', 'f')","('抱', 'v')","('著', 'u')","('乾癟', 'a')","('的', 'u')","('肚皮', 'n')","('哇啦', 'o')","('哇啦', 'o')","('地', 'u')","('哭', 'v')","('起來', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"('只有', 'v')","('他', 'r')","('，', 'w')","('他', 'r')","('的', 'u')","('父親', 'n')","('，', 'w')","('他', 'r')","('的', 'u')","('牛', 'n')","('，', 'w')","('…', 'w')","('…', 'w')","('他', 'r')","('拋下', 'v')","('了', 'u')","('老娘', 'n')","('和', 'c')","('妻子', 'n')","('，', 'w')","('他', 'r')","('跑', 'v')","('出來', 'v')","('當兵', 'v')","('的', 'u')","('唯一', 'b')","('目的', 'n')","('是', 'v')","('要', 'v')","('替', 'p')","('父親', 'n')","('報仇雪恨', 'l')","('，', 'w')","('作', 'v')","('個把', 'm')","('大小', 'a')","('的', 'u')","('官', 'n')","('兒', 'k')","('回去', 'v')","('吐氣', 'v')","('揚眉', 'v')","('的', 'u')",,,,,,,,,,,,,,,,,,
25,"('當', 'p')","('那', 'r')","('寒', 'Ag')","('雲', 'n')","('一', 'm')","('層', 'q')","('層', 'q')","('地', 'u')","('不住', 'v')","('地', 'u')","('加厚', 'v')","('的', 'u')","('時候', 'n')","('，', 'w')","('差不多', 'l')","('把', 'p')","('整個', 'b')","('貧民窟', 'n')","('的', 'u')","('人們', 'n')","('的', 'u')","('心兒', 'n')","('，', 'w')","('都', 'd')","('吊', 'v')","('起來', 'v')","('了', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"('”', 'w')","('賈', 'nr')","('母', 'Ng')","('說道', 'v')","('：', 'w')","('“', 'w')","('又', 'd')","('胡說', 'v')","('了', 'y')","('，', 'w')","('帳子', 'n')","('的', 'u')","('檐子', 'n')","('是', 'v')","('紅', 'a')","('的', 'u')","('，', 'w')","('火光', 'n')","('照', 'v')","('著', 'v')","('，', 'w')","('自然', 'd')","('紅', 'a')","('是', 'v')","('有', 'v')","('的', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"('”', 'w')","('紫鵑', 'nr')","('听', 'v')","('了', 'y')","('，', 'w')","('赶著', 'd')","('命', 'v')","('小丫頭', 'n')","('們', 'k')","('將', 'p')","('這', 'r')","('風箏', 'n')","('送出', 'v')","('与', 'p')","('園門', 'n')","('上', 'f')","('值日', 'v')","('的', 'u')","('婆子', 'n')","('去', 'v')","('了', 'y')","('，', 'w')","('倘', 'c')","('有人', 'r')","('來', 'v')","('找', 'v')","('，', 'w')","('好', 'd')","('与', 'p')","('他們', 'r')","('去', 'v')","('的', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"('”', 'w')","('平儿', 'nr')","('笑', 'v')","('道', 'v')","('：', 'w')","('“', 'w')","('你', 'r')","('只', 'd')","('和', 'p')","('老', 'a')","('太太', 'n')","('說', 'v')","('，', 'w')","('就', 'd')","('說', 'v')","('已經', 'd')","('給', 'v')","('了', 'u')","('璉', 'nr')","('二爺', 'n')","('了', 'y')","('，', 'w')","('大', 'a')","('老爺', 'n')","('就', 'd')","('不', 'd')","('好', 'ad')","('要', 'v')","('了', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"('收', 'v')","('糧', 'n')","('的', 'u')","('時侯', 'n')","('，', 'w')","('衙門', 'n')","('里', 'f')","('便', 'd')","('說', 'v')","('新', 'a')","('道', 'n')","('爺', 'n')","('的', 'u')","('法令', 'n')","('，', 'w')","('明', 'ad')","('是', 'v')","('不敢', 'v')","('要', 'v')","('錢', 'n')","('，', 'w')","('這', 'r')","('一', 'd')","('留', 'v')","('難', 'ad')","('叨', 'Vg')","('蹬', 'v')","('，', 'w')","('那些', 'r')","('鄉民', 'n')","('心里', 's')","('愿意', 'v')","('花', 'v')","('几個', 'm')","('錢', 'n')","('早早', 'd')","('了事', 'v')",,,,,,,,,,,,,,,,,,,,,,,,
30,"('只見', 'v')","('王', 'nr')","('夫人', 'n')","('气色', 'n')","('更', 'd')","('變', 'v')","('，', 'w')","('只', 'd')","('帶', 'v')","('一個', 'm')","('貼', 'v')","('己', 'r')","('的', 'u')","('小丫頭', 'n')","('走來', 'v')","('，', 'w')","('一語不發', 'i')","('，', 'w')","('走', 'v')","('至', 'v')","('里間', 'n')","('坐下', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"('這', 'r')","('西門慶', 'nr')","('心中', 's')","('大怒', 'v')","('，', 'w')","('把', 'p')","('孫雪娥', 'nr')","('打', 'v')","('了', 'u')","('一', 'm')","('頓', 'q')","('，', 'w')","('被', 'p')","('月', 'nr')","('娘', 'n')","('再三', 'd')","('勸', 'v')","('了', 'y')","('，', 'w')","('拘', 'v')","('了', 'u')","('他', 'r')","('頭面', 'n')","('衣服', 'n')","('，', 'w')","('只', 'd')","('教', 'v')","('他', 'r')","('伴', 'v')","('著', 'u')","('家人', 'n')","('媳婦', 'n')","('上', 'v')","('竈', 'n')","('，', 'w')","('不許', 'v')","('他', 'r')","('見', 'v')","('人', 'n')",,,,,,,,,,,,,,,,,,,,,,
32,"('其餘', 'r')","('酒店', 'n')","('中', 'f')","('家', 'n')","('活', 'n')","('，', 'w')","('共', 'd')","('算了', 'v')","('五十', 'm')","('兩', 'q')","('，', 'w')","('陳敬濟', 'nr')","('狀', 'Ng')","('上', 'f')","('告', 'v')","('著', 'u')","('九百', 'm')","('兩', 'q')","('，', 'w')","('還', 'd')","('差', 'v')","('三百五十', 'm')","('兩', 'q')","('銀子', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"('這', 'r')","('一', 'm')","('日', 'q')","('你', 'r')","('也', 'd')","('莫', 'd')","('來', 'v')","('，', 'w')","('直至', 'v')","('第三', 'm')","('日', 'q')","('，', 'w')","('晌午', 't')","('前後', 'f')","('，', 'w')","('你', 'r')","('整整齊齊', 'z')","('打扮', 'v')","('了', 'u')","('來', 'v')","('，', 'w')","('以', 'p')","('咳嗽', 'v')","('為', 'v')","('號', 'n')","('，', 'w')","('你', 'r')","('在', 'p')","('門前', 's')","('叫道', 'v')","('：', 'w')","('‘', 'w')","('怎的', 'r')","('連日', 'd')","('不', 'd')","('見', 'v')","('王', 'nr')","('乾娘', 'n')",,,,,,,,,,,,,,,,,,,,,,,
34,"('”', 'w')","('張川兒', 'nr')","('接過', 'v')","('來', 'v')","('道', 'v')","('：', 'w')","('“', 'w')","('你', 'r')","('老人家', 'n')","('不說', 'v')","('，', 'w')","('小', 'a')","('的', 'u')","('也', 'd')","('不敢', 'v')","('說', 'v')","('，', 'w')","('這個', 'r')","('可是', 'd')","('使', 'v')","('不', 'd')","('的', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"('”', 'w')","('西門慶', 'nr')","('聽', 'v')","('了', 'u')","('大喜', 'v')","('道', 'v')","('：', 'w')","('“', 'w')","('雖然', 'c')","('上', 'v')","('不得', 'v')","('凌煙閣', 'ns')","('，', 'w')","('乾娘', 'n')","('你', 'r')","('這', 'r')","('條', 'q')","('計', 'Ng')","('，', 'w')","('端的', 'd')","('絕品', 'n')","('好', 'a')","('妙計', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"('即', 'd')","('將', 'p')","('洞中', 's')","('大小', 'n')","('妖精', 'n')","('點起', 'v')","('，', 'w')","('果然', 'd')","('選出', 'v')","('三', 'm')","('個', 'q')","('有', 'v')","('能', 'Ng')","('的', 'u')","('小妖', 'n')","('，', 'w')","('俱', 'd')","('變', 'v')","('做', 'v')","('老妖', 'n')","('，', 'w')","('各', 'r')","('執', 'v')","('鐵杵', 'n')","('，', 'w')","('埋伏', 'v')","('等待', 'v')","('唐僧', 'nr')","('不', 'd')","('題', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"('」', 'w')","('行者', 'n')","('上前', 'v')","('，', 'w')","('奪過', 'v')","('刀', 'n')","('來', 'v')","('，', 'w')","('把', 'p')","('個', 'q')","('穿', 'v')","('黃', 'a')","('的', 'u')","('割', 'v')","('下', 'v')","('頭', 'n')","('來', 'v')","('，', 'w')","('血淋淋', 'z')","('提', 'v')","('在', 'p')","('手中', 's')","('，', 'w')","('收', 'v')","('了', 'u')","('鐵棒', 'n')","('，', 'w')","('拽開', 'v')","('雲', 'n')","('步', 'n')","('，', 'w')","('趕到', 'v')","('唐僧', 'nr')","('馬前', 's')","('，', 'w')","('提', 'v')","('著', 'u')","('頭', 'n')","('道', 'v')","('：', 'w')","('「', 'w')","('師父', 'n')","('，', 'w')","('這', 'r')","('是', 'v')","('楊', 'nr')","('老兒', 'n')","('的', 'u')","('逆子', 'n')","('，', 'w')","('被', 'p')","('老孫', 'n')","('取', 'v')","('將', 'p')","('首級', 'n')","('來', 'v')","('也', 'y')",,,,
38,"('煩', 'a')","('二', 'm')","('位', 'q')","('道', 'n')","('長', 'n')","('將', 'p')","('這裏', 'r')","('地名', 'n')","('，', 'w')","('君王', 'n')","('好', 'a')","('道', 'n')","('愛', 'v')","('賢', 'Ng')","('之', 'u')","('事', 'n')","('，', 'w')","('細說', 'v')","('一', 'm')","('遍', 'q')","('，', 'w')","('足見', 'v')","('同道', 'v')","('之', 'u')","('情', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"('」', 'w')","('好', 'a')","('猴王', 'n')","('，', 'w')","('將', 'p')","('身', 'Ng')","('一', 'm')","('縱', 'v')","('，', 'w')","('跳起', 'v')","('去', 'v')","('，', 'w')","('一路', 'm')","('觔', 'q')","('斗', 'v')","('，', 'w')","('直至', 'v')","('北下', 'v')","('觀看', 'v')","('，', 'w')","('見', 'v')","('一', 'm')","('座', 'q')","('高山', 'n')","('，', 'w')","('真', 'd')","('是', 'v')","('十分', 'm')","('險峻', 'a')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"('有', 'v')","('東', 'f')","('土', 'n')","('大唐', 't')","('遠', 'ad')","('來', 'v')","('取經', 'v')","('的', 'u')","('一個', 'm')","('聖', 'n')","('僧', 'n')","('孫', 'nr')","('長老', 'n')","('揭', 'v')","('了', 'y')","('，', 'w')","('現在', 't')","('會同', 'v')","('館內', 's')","('，', 'w')","('要', 'v')","('王', 'nr')","('親自', 'd')","('去', 'v')","('請', 'v')","('他', 'r')","('，', 'w')","('他', 'r')","('有', 'v')","('手到病除', 'i')","('之', 'u')","('功', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"('」', 'w')","('言', 'Ng')","('畢', 'Vg')","('起身', 'v')","('，', 'w')","('付', 'v')","('著', 'u')","('與', 'p')","('他', 'r')","('看', 'v')","('，', 'w')","('朝', 'p')","('這些', 'r')","('無', 'v')","('考究', 'a')","('的', 'u')","('人', 'n')","('作', 'v')","('了', 'u')","('半截', 'm')","('揖', 'Ng')","('，', 'w')","('跟', 'v')","('著', 'u')","('蒼頭', 'n')","('便', 'd')","('走', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"('玉', 'n')","('狐', 'Ng')","('見', 'v')","('周生', 'nr')","('說話', 'v')","('親切', 'a')","('，', 'w')","('便', 'd')","('知', 'v')","('其', 'r')","('心', 'n')","('已', 'd')","('動', 'v')","('，', 'w')","('乃', 'd')","('含笑', 'v')","('答道', 'v')","('：', 'w')","('「', 'w')","('萍水相逢', 'i')","('，', 'w')","('何敢', 'r')","('周', 'nr')","('公子', 'n')","('拜訪', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"('倘若', 'c')","('妖狐', 'n')","('回頭', 'v')","('苦煉', 'v')","('，', 'w')","('向', 'p')","('善', 'a')","('改', 'v')","('惡', 'a')","('，', 'w')","('山人', 'n')","('今日', 't')","('一', 'd')","('施', 'v')","('恩惠', 'n')","('，', 'w')","('便', 'd')","('可', 'v')","('保住', 'v')","('了', 'u')","('金丹', 'n')","('大道', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"('」', 'w')","('主意', 'n')","('想', 'v')","('妥', 'a')","('，', 'w')","('頃刻', 'd')","('仍', 'd')","('復', 'Dg')","('成', 'v')","('胡', 'nr')","('小姐', 'n')","('的', 'u')","('模樣', 'n')","('，', 'w')","('那等', 'r')","('好看', 'a')","('，', 'w')","('真', 'd')","('似', 'Vg')","('生來', 'b')","('的', 'u')","('秋水', 'n')","('為', 'v')","('神', 'n')","('玉', 'n')","('為', 'v')","('骨', 'Ng')","('，', 'w')","('芙蓉', 'n')","('如', 'v')","('面', 'n')","('柳', 'Ng')","('如', 'v')","('眉', 'n')","('，', 'w')","('整', 'd')","('注', 'q')","('游龍', 'n')","('不足', 'v')","('比喻', 'v')",,,,,,,,,,,,,,,,,,,,,
