,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
11,"('\uf7a2古久', 'nr')","('先生', 'n')","('的', 'u')","('陳年', 't')","('流水', 'n')","('簿子', 'n')","('：', 'w')","('這裡', 'v')","('比喻', 'v')","('我', 'r')","('國', 'v')","('封建', 'a')","('主義', 'n')","('統治', 'v')","('的', 'u')","('長久', 'vn')","('歷史', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"('他們', 'r')","('可是', 'c')","('父子', 'n')","('兄弟', 'n')","('夫婦', 'n')","('朋友', 'n')","('師生', 'v')","('仇敵', 'n')","('和', 'c')","('各', 'r')","('不', 'd')","('相識', 'v')","('的', 'u')","('人', 'n')","('，', 'w')","('都', 'd')","('結成', 'v')","('一', 'm')","('伙', 'q')","('，', 'w')","('互相', 'd')","('勸勉', 'v')","('，', 'w')","('互相', 'd')","('牽掣', 'v')","('，', 'w')","('死', 'v')","('也', 'd')","('不', 'd')","('肯', 'v')","('跨過', 'v')","('這', 'v')","('一', 'm')","('步', 'q')",,,,,,,,,,,,,,,,,,,,,,,,,,
13,"('有', 'v')","('了', 'u')","('四千', 'm')","('年', 'q')","('吃', 'v')","('人', 'n')","('履歷', 'v')","('的', 'u')","('我', 'r')","('，', 'w')","('當初', 'd')","('雖然', 'd')","('不', 'd')","('知道', 'v')","('，', 'w')","('現', 'v')","('在', 'p')","('明白', 'v')","('，', 'w')","('難見', 'v')","('真的', 'n')","('人', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"('他', 'r')","('們這', 'v')","('群', 'n')","('人', 'n')","('，', 'w')","('又', 'd')","('想', 'v')","('吃', 'v')","('人', 'n')","('，', 'w')","('又', 'd')","('是', 'v')","('鬼鬼祟祟', 'i')","('，', 'w')","('想', 'v')","('法子', 'n')","('遮掩', 'v')","('，', 'w')","('不', 'd')","('敢', 'v')","('直截', 'v')","('下手', 'v')","('，', 'w')","('真', 'd')","('要', 'v')","('令', 'v')","('我', 'r')","('笑', 'v')","('死', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"('他們', 'r')","('——', 'w')","('也', 'd')","('有', 'v')","('給知', 'vn')","('縣', 'n')","('打', 'v')","('枷過', 'n')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('給紳士掌', 'n')","('過嘴', 'n')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('衙役', 'n')","('佔', 'v')","('了', 'u')","('他', 'r')","('妻子', 'n')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('老子娘', 'n')","('被', 'p')","('債主', 'n')","('逼死', 'v')","('的', 'u')","('；', 'w')","('他們', 'r')","('那', 'c')","('時候', 'v')","('的', 'u')","('臉色', 'n')","('，', 'w')","('全沒', 'n')","('有', 'v')","('昨天', 't')","('這麼', 'v')","('怕', 'v')","('，', 'w')","('也', 'd')","('沒有', 'v')","('這麼', 'v')","('凶', 'a')",,,,,,,,,,,
16,"('在', 'p')","('研究', 'v')","('以赛亚', 'ns')","('三十三', 'm')","('、', 'w')","('三十四', 'm')","('章', 'q')","('时', 'n')","('，', 'w')","('深信', 'v')","('一切', 'r')","('差会', 'n')","('在', 'p')","('华', 'j')","('的', 'u')","('机构', 'n')","('都', 'd')","('有', 'v')","('一', 'm')","('天', 'q')","('要', 'v')","('消没', 'v')","('，', 'w')","('在', 'p')","('大', 'a')","('磨难', 'n')","('时', 'n')","('，', 'w')","('有', 'v')","('许多', 'm')","('人', 'n')","('因', 'c')","('惧怕', 'v')","('冷淡', 'a')","('、', 'w')","('跌倒', 'v')","('，', 'w')","('不', 'd')","('敢', 'v')","('承认', 'v')","('主', 'n')","('，', 'w')","('经过', 'p')","('大', 'a')","('磨难', 'n')","('后', 'f')","('，', 'w')","('人', 'n')","('心方', 'n')","('饥渴', 'a')","('慕义', 'n')",,,,,,,,,
17,"('金笔', 'nr')","('告诉', 'v')","('我', 'r')","('，', 'w')","('金地', 'nr')","('夫妇', 'n')","('因为', 'c')","('孩子', 'n')","('不', 'd')","('肯', 'v')","('穿衣', 'n')","('便', 'd')","('大', 'd')","('打', 'v')","('孩子', 'n')","('，', 'w')","('成为', 'v')","('全乡', 'n')","('笑料', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"('最初', 'd')","('打', 'v')","('几', 'm')","('条', 'q')","('鱼', 'n')","('时', 'n')","('，', 'w')","('尚', 'd')","('知归', 'v')","('荣耀', 'v')","('于', 'p')","('神', 'n')","('，', 'w')","('打鱼', 'v')","('打', 'v')","('多', 'a')","('了', 'y')","('，', 'w')","('就', 'd')","('喧宾夺主', 'v')","('，', 'w')","('不', 'd')","('将', 'd')","('荣耀', 'v')","('归于', 'v')","('神', 'n')","('，', 'w')","('反自', 'd')","('夸', 'v')","('自己', 'r')","('是', 'v')","('老手', 'n')","('了', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"('七月', 't')","('三日', 't')","('内', 'f')","('人', 'n')","('锦华', 'nr')","('因', 'p')","('小孩子', 'n')","('病', 'v')","('得', 'u')","('厉害', 'a')","('，', 'w')","('赶回', 'v')","('上海', 'ns')","('；', 'w')","('同日', 'd')","('我', 'r')","('来', 'v')","('香山', 'ns')","('，', 'w')","('暂', 'd')","('租', 'v')","('一', 'm')","('座', 'q')","('房子', 'n')","('，', 'w')","('在', 'p')","('这里', 'r')","('已', 'd')","('有', 'v')","('一个', 'm')","('月', 'n')","('，', 'w')","('伤口', 'n')","('将近', 'd')","('痊愈', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,
20,"('温岭', 'ns')","('会', 'v')","('毕后', 'v')","('我', 'r')","('理当', 'v')","('去', 'v')","('山东', 'ns')","('峄县', 'ns')","('，', 'w')","('要', 'v')","('去', 'v')","('北方', 's')","('非常', 'd')","('危险', 'a')","('，', 'w')","('平阳', 'ns')","('、', 'w')","('瑞安', 'ns')","('、', 'w')","('南昌', 'ns')","('、', 'w')","('福建', 'ns')","('等', 'u')","('地', 'n')","('都', 'd')","('有', 'v')","('呼声', 'n')","('，', 'w')","('我', 'r')","('已经', 'd')","('去信', 'v')","('取消', 'v')","('去峄县', 'ns')","('、', 'w')","('济南', 'ns')","('、', 'w')","('烟台', 'ns')","('领会', 'v')","('的', 'u')","('邀请', 'vn')",,,,,,,,,,,,,,,,,,,,
21,"('使', 'v')","('勁地', 'n')","('抽著', 'v')","('，', 'w')","('一', 'm')","('口', 'q')","('煙還', 'n')","('沒有', 'v')","('吃完', 'v')","('，', 'w')","('何', 'r')","('八', 'm')","('爺', 'v')","('的', 'u')","('心思', 'n')","('又', 'd')","('火', 'v')","('一', 'm')","('樣', 'q')","('地', 'u')","('燃燒', 'v')","('起來', 'v')","('了', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"('假使', 'v')","('這回', 'v')","('沒有', 'v')","('這個', 'n')","('叫做', 'v')","('什麼', 'ns')","('「', 'n')","('電網', 'v')","('」', 'n')","('的', 'u')","('撈什子', 'n')","('東西', 'nr')","('，', 'w')","('他', 'r')","('全家', 'n')","('決', 'v')","('不', 'd')","('會', 'v')","('弄成', 'v')","('這個', 'v')","('樣子', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"('孩子', 'n')","('們', 'v')","('，', 'w')","('最初', 'd')","('是', 'v')","('鬧著', 'i')","('，', 'w')","('叫', 'v')","('著', 'v')","('，', 'w')","('要', 'v')","('吃', 'v')","('；', 'w')","('隨後', 'v')","('，', 'w')","('便', 'd')","('躺', 'v')","('在', 'p')","('艙板', 'n')","('上', 'v')","('抱著', 'v')","('乾癟', 'n')","('的', 'u')","('肚皮', 'n')","('哇', 'n')","('啦', 'y')","('哇', 'v')","('啦', 'o')","('地', 'u')","('哭', 'v')","('起', 'v')","('來', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"('只有', 'c')","('他', 'r')","('，', 'w')","('他', 'r')","('的', 'u')","('父親', 'n')","('，', 'w')","('他', 'r')","('的', 'u')","('牛', 'n')","('，', 'w')","('……', 'w')","('他', 'r')","('拋下', 'v')","('了', 'u')","('老娘', 'nr')","('和', 'c')","('妻子', 'n')","('，', 'w')","('他', 'r')","('跑', 'v')","('出來', 'v')","('當兵', 'n')","('的', 'u')","('唯一', 'b')","('目的', 'n')","('是', 'v')","('要', 'v')","('替', 'p')","('父親報仇', 'n')","('雪恨', 'v')","('，', 'w')","('作個', 'v')","('把', 'p')","('大小', 'n')","('的', 'u')","('官兒', 'n')","('回去', 'v')","('吐氣', 'v')","('揚眉', 'n')","('的', 'u')",,,,,,,,,,,,,,,,,,,
25,"('當', 'n')","('那', 'c')","('寒雲', 'n')","('一', 'm')","('層', 'q')","('層地', 'n')","('不住', 'i')","('地', 'u')","('加厚', 'v')","('的', 'u')","('時候', 'n')","('，', 'w')","('差不多', 'l')","('把', 'p')","('整', 'm')","('個', 'q')","('貧', 'v')","('民窟', 'n')","('的', 'u')","('人們', 'n')","('的', 'u')","('心兒', 'n')","('，', 'w')","('都', 'd')","('吊', 'v')","('起來', 'v')","('了', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"('”', 'w')","('賈母', 'n')","('說道', 'n')","('：', 'w')","('“', 'w')","('又', 'd')","('胡說', 'v')","('了', 'y')","('，', 'w')","('帳子', 'n')","('的', 'u')","('檐子', 'n')","('是', 'v')","('紅', 'v')","('的', 'u')","('，', 'w')","('火光', 'n')","('照著', 'v')","('，', 'w')","('自然', 'd')","('紅', 'v')","('是', 'v')","('有的', 'r')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"('”', 'w')","('紫鵑', 'n')","('听', 'v')","('了', 'y')","('，', 'w')","('赶', 'v')","('著命', 'v')","('小丫', 'n')","('頭們', 'v')","('將這', 'v')","('風箏', 'n')","('送出', 'v')","('与', 'c')","('園門', 'v')","('上', 'v')","('值日', 'n')","('的', 'u')","('婆子', 'n')","('去', 'v')","('了', 'y')","('，', 'w')","('倘', 'c')","('有人', 'r')","('來', 'v')","('找', 'v')","('，', 'w')","('好', 'd')","('与', 'p')","('他', 'r')","('們去', 'v')","('的', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"('”', 'w')","('平儿', 'n')","('笑', 'v')","('道', 'v')","('：', 'w')","('“', 'w')","('你', 'r')","('只', 'd')","('和', 'c')","('老太太', 'n')","('說', 'v')","('，', 'w')","('就', 'd')","('說', 'v')","('已', 'd')","('經給', 'v')","('了', 'u')","('璉', 'n')","('二', 'm')","('爺', 'v')","('了', 'y')","('，', 'w')","('大老爺', 'n')","('就', 'd')","('不', 'd')","('好', 'a')","('要', 'v')","('了', 'y')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"('收糧', 'v')","('的', 'u')","('時侯', 'n')","('，', 'w')","('衙門', 'n')","('里', 'f')","('便', 'd')","('說', 'v')","('新', 'a')","('道爺', 'n')","('的', 'u')","('法令', 'n')","('，', 'w')","('明', 'd')","('是', 'v')","('不', 'd')","('敢', 'v')","('要', 'v')","('錢', 'v')","('，', 'w')","('這', 'v')","('一', 'm')","('留', 'v')","('難', 'n')","('叨蹬', 'n')","('，', 'w')","('那些', 'r')","('鄉民', 'n')","('心里', 's')","('愿意', 'v')","('花', 'v')","('几', 'm')","('個錢', 'q')","('早早', 'd')","('了事', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,
30,"('只', 'd')","('見', 'v')","('王夫人', 'nr')","('气色', 'n')","('更', 'd')","('變', 'v')","('，', 'w')","('只', 'd')","('帶', 'v')","('一', 'm')","('個', 'q')","('貼己', 'n')","('的', 'u')","('小丫頭', 'n')","('走來', 'v')","('，', 'w')","('一', 'm')","('語', 'q')","('不', 'd')","('發', 'v')","('，', 'w')","('走', 'v')","('至', 'p')","('里', 'f')","('間', 'v')","('坐下', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"('這西', 'ns')","('門慶', 'n')","('心中', 's')","('大怒', 'i')","('，', 'w')","('把', 'p')","('孫雪', 'n')","('娥', 'nr')","('打', 'v')","('了', 'u')","('一', 'm')","('頓', 'q')","('，', 'w')","('被', 'p')","('月娘', 'n')","('再三', 'd')","('勸', 'v')","('了', 'y')","('，', 'w')","('拘', 'v')","('了', 'u')","('他', 'r')","('頭面', 'n')","('衣服', 'n')","('，', 'w')","('只', 'd')","('教', 'v')","('他', 'r')","('伴著', 'v')","('家人', 'n')","('媳婦', 'v')","('上', 'v')","('竈', 'n')","('，', 'w')","('不', 'd')","('許', 'v')","('他', 'r')","('見人', 'n')",,,,,,,,,,,,,,,,,,,,,,
32,"('其', 'r')","('餘', 'n')","('酒店', 'n')","('中', 'f')","('家活', 'n')","('，', 'w')","('共', 'd')","('算', 'v')","('了', 'u')","('五十', 'm')","('兩', 'q')","('，', 'w')","('陳敬', 'v')","('濟狀', 'v')","('上', 'v')","('告著', 'v')","('九百', 'm')","('兩', 'n')","('，', 'w')","('還差', 'n')","('三百五十', 'm')","('兩', 'q')","('銀子', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"('這', 'nr')","('一日', 't')","('你', 'r')","('也', 'd')","('莫來', 'i')","('，', 'w')","('直至', 'v')","('第三日', 't')","('，', 'w')","('晌午', 't')","('前', 'f')","('後', 'v')","('，', 'w')","('你', 'r')","('整整', 'd')","('齊齊', 'v')","('打扮', 'v')","('了', 'u')","('來', 'n')","('，', 'w')","('以', 'p')","('咳嗽', 'v')","('為號', 'n')","('，', 'w')","('你', 'r')","('在', 'p')","('門前', 's')","('叫', 'v')","('道', 'v')","('：', 'w')","('‘', 'w')","('怎', 'r')","('的', 'u')","('連日', 'n')","('不', 'd')","('見', 'v')","('王', 'n')","('乾娘', 'n')",,,,,,,,,,,,,,,,,,,,,,
34,"('”', 'w')","('張川', 'ns')","('兒', 'n')","('接過', 'v')","('來道', 'n')","('：', 'w')","('“', 'w')","('你', 'r')","('老人家', 'n')","('不', 'd')","('說', 'v')","('，', 'w')","('小', 'a')","('的', 'u')","('也', 'd')","('不', 'd')","('敢', 'v')","('說', 'v')","('，', 'w')","('這個', 'n')","('可是', 'c')","('使', 'v')","('不', 'd')","('的', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"('”', 'w')","('西門', 'nr')","('慶聽', 'v')","('了', 'u')","('大喜道', 'n')","('：', 'w')","('“', 'w')","('雖然', 'd')","('上', 'v')","('不得', 'u')","('凌煙', 'v')","('閣', 'n')","('，', 'w')","('乾娘', 'n')","('你', 'r')","('這', 'v')","('條計', 'n')","('，', 'w')","('端', 'v')","('的', 'u')","('絕品', 'n')","('好', 'a')","('妙計', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"('即', 'v')","('將洞', 'n')","('中', 'f')","('大小妖', 'n')","('精點', 'v')","('起', 'v')","('，', 'w')","('果然', 'd')","('選出', 'v')","('三', 'm')","('個', 'q')","('有', 'v')","('能', 'v')","('的', 'u')","('小妖', 'n')","('，', 'w')","('俱變', 'v')","('做', 'v')","('老妖', 'n')","('，', 'w')","('各', 'r')","('執', 'n')","('鐵杵', 'n')","('，', 'w')","('埋伏', 'v')","('等待', 'v')","('唐僧', 'nr')","('不', 'd')","('題', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"('」', 'v')","('行者', 'n')","('上前', 'v')","('，', 'w')","('奪過', 'v')","('刀來', 'i')","('，', 'w')","('把', 'p')","('個', 'n')","('穿黃', 'v')","('的', 'u')","('割下', 'vn')","('頭來', 'n')","('，', 'w')","('血淋淋提', 'n')","('在手', 'v')","('中', 'f')","('，', 'w')","('收', 'v')","('了', 'u')","('鐵棒', 'n')","('，', 'w')","('拽', 'v')","('開', 'v')","('雲步', 'v')","('，', 'w')","('趕到', 'v')","('唐僧', 'nr')","('馬前', 't')","('，', 'w')","('提著', 'v')","('頭道', 'n')","('：', 'w')","('「', 'v')","('師父', 'n')","('，', 'w')","('這', 'n')","('是', 'v')","('楊', 'v')","('老兒', 'n')","('的', 'u')","('逆子', 'n')","('，', 'w')","('被', 'p')","('老孫', 'nr')","('取將', 'v')","('首', 'm')","('級來', 'n')","('也', 'y')",,,,,,,,,,,
38,"('煩', 'nr')","('二', 'm')","('位', 'q')","('道長', 'n')","('將這裏', 'v')","('地名', 'n')","('，', 'w')","('君王', 'nz')","('好道', 'n')","('愛賢', 'v')","('之', 'u')","('事', 'n')","('，', 'w')","('細說', 'v')","('一', 'm')","('遍', 'q')","('，', 'w')","('足見', 'd')","('同道', 'v')","('之', 'u')","('情', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"('」', 'v')","('好', 'a')","('猴王', 'n')","('，', 'w')","('將身', 'v')","('一', 'm')","('縱', 'q')","('，', 'w')","('跳', 'v')","('起', 'v')","('去', 'v')","('，', 'w')","('一路', 'm')","('觔斗', 'v')","('，', 'w')","('直至', 'v')","('北下', 's')","('觀', 'v')","('看', 'v')","('，', 'w')","('見', 'v')","('一', 'm')","('座', 'q')","('高山', 'n')","('，', 'w')","('真是', 'v')","('十分', 'd')","('險峻', 'a')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"('有', 'v')","('東土', 'n')","('大唐', 'd')","('遠來', 'v')","('取經', 'v')","('的', 'u')","('一', 'm')","('個', 'q')","('聖僧', 'n')","('孫長', 'v')","('老揭', 'a')","('了', 'y')","('，', 'w')","('現', 'v')","('在', 'p')","('會同', 'v')","('館內', 'n')","('，', 'w')","('要', 'v')","('王', 'nr')","('親自', 'd')","('去', 'v')","('請', 'v')","('他', 'r')","('，', 'w')","('他', 'r')","('有手', 'v')","('到', 'v')","('病', 'n')","('除', 'v')","('之', 'u')","('功', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"('」', 'v')","('言畢', 'n')","('起身', 'v')","('，', 'w')","('付', 'v')","('著與', 'v')","('他', 'r')","('看', 'v')","('，', 'w')","('朝這', 'v')","('些', 'q')","('無', 'n')","('考究', 'v')","('的', 'u')","('人', 'n')","('作', 'v')","('了', 'u')","('半截揖', 'm')","('，', 'w')","('跟', 'p')","('著', 'v')","('蒼頭', 'v')","('便', 'd')","('走', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"('玉狐', 'nz')","('見', 'n')","('周生', 'nr')","('說話', 'v')","('親切', 'a')","('，', 'w')","('便', 'd')","('知', 'v')","('其', 'r')","('心', 'n')","('已', 'd')","('動', 'v')","('，', 'w')","('乃', 'v')","('含笑', 'v')","('答道', 'v')","('：', 'w')","('「', 'v')","('萍水相逢', 'v')","('，', 'w')","('何', 'r')","('敢', 'v')","('周公子', 'nr')","('拜訪', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"('倘若', 'c')","('妖狐', 'n')","('回頭', 'v')","('苦煉', 'n')","('，', 'w')","('向善', 'nr')","('改惡', 'v')","('，', 'w')","('山人', 'n')","('今日', 't')","('一', 'd')","('施', 'v')","('恩惠', 'n')","('，', 'w')","('便', 'd')","('可', 'v')","('保住', 'v')","('了', 'u')","('金丹', 'nr')","('大道', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"('」', 'v')","('主意', 'n')","('想妥', 'v')","('，', 'w')","('頃刻', 'n')","('仍', 'd')","('復成', 'v')","('胡', 'nr')","('小姐', 'n')","('的', 'u')","('模樣', 'n')","('，', 'w')","('那', 'c')","('等', 'u')","('好看', 'a')","('，', 'w')","('真', 'd')","('似', 'v')","('生來', 'n')","('的', 'u')","('秋水', 'n')","('為', 'n')","('神玉', 'n')","('為骨', 'n')","('，', 'w')","('芙蓉', 'n')","('如', 'v')","('面柳如眉', 'n')","('，', 'w')","('整注', 'v')","('游龍', 'v')","('不足', 'v')","('比喻', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"('」', 'v')","('況', 'n')","('周生', 'nr')","('自與', 'v')","('玉狐', 'n')","('相遇', 'v')","('，', 'w')","('已', 'd')","('被', 'p')","('他', 'r')","('幻術', 'v')","('攏住', 'v')","('，', 'w')","('莫說', 'nr')","('無人', 'n')","('指破', 'v')","('，', 'w')","('即', 'v')","('此', 'r')","('有人', 'r')","('說', 'v')","('他', 'r')","('是', 'v')","('個妖精', 'i')","('，', 'w')","('見', 'v')","('此', 'r')","('等', 'u')","('美貌', 'n')","('多情', 'n')","('，', 'w')","('公子', 'n')","('亦', 'd')","('不', 'd')","('相信', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,
