,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
11,"('\uf7a2', 'v')","('古', 'nt')","('久', 'a')","('先生', 'n')","('的', 'u')","('陳', 'n')","('年', 'nt')","('流水', 'n')","('簿子', 'n')","('：', 'w')","('這', 'n')","('裡', 'v')","('比喻', 'v')","('我', 'r')","('國', 'n')","('封建主', 'n')","('義', 'v')","('統', 'v')","('治', 'v')","('的', 'u')","('長', 'n')","('久', 'a')","('歷', 'v')","('史', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"('他們', 'r')","('可是', 'd')","('父子', 'n')","('兄弟', 'n')","('夫', 'n')","('婦', 'v')","('朋友', 'n')","('師', 'v')","('生', 'v')","('仇', 'n')","('敵', 'n')","('和', 'c')","('各', 'r')","('不', 'd')","('相', 'd')","('識', 'v')","('的', 'u')","('人', 'n')","('，', 'w')","('都', 'd')","('結', 'v')","('成', 'v')","('一伙', 'mq')","('，', 'w')","('互相', 'd')","('勸', 'v')","('勉', 'v')","('，', 'w')","('互相', 'd')","('牽', 'v')","('掣', 'v')","('，', 'w')","('死', 'v')","('也', 'd')","('不肯', 'vu')","('跨', 'v')","('過', 'n')","('這', 'n')","('一', 'm')","('步', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"('有', 'v')","('了', 'u')","('四千年', 'm')","('吃', 'v')","('人', 'n')","('履', 'n')","('歷', 'n')","('的', 'u')","('我', 'r')","('，', 'w')","('當', 'v')","('初', 'a')","('雖', 'v')","('然', 'k')","('不', 'd')","('知道', 'v')","('，', 'w')","('現', 'v')","('在', 'p')","('明白', 'a')","('，', 'w')","('難', 'n')","('見', 'v')","('真的', 'a')","('人', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"('他們', 'r')","('這', 'n')","('群', 'q')","('人', 'n')","('，', 'w')","('又', 'd')","('想', 'v')","('吃', 'v')","('人', 'n')","('，', 'w')","('又是', 'vl')","('鬼鬼祟祟', 'i')","('，', 'w')","('想法子', 'v')","('遮掩', 'v')","('，', 'w')","('不敢', 'vu')","('直截', 'v')","('下手', 'n')","('，', 'w')","('真', 'd')","('要', 'vu')","('令', 'v')","('我', 'r')","('笑死', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"('他們', 'n')","('—', 'w')","('—', 'w')","('也', 'd')","('有', 'v')","('給', 'n')","('知', 'v')","('縣', 'n')","('打', 'v')","('枷', 'n')","('過', 'n')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('給', 'n')","('紳', 'n')","('士', 'n')","('掌', 'n')","('過', 'v')","('嘴', 'n')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('衙役', 'n')","('佔', 'v')","('了', 'u')","('他', 'r')","('妻子', 'n')","('的', 'u')","('，', 'w')","('也', 'd')","('有', 'v')","('老子', 'n')","('娘', 'n')","('被', 'p')","('債', 'v')","('主', 'n')","('逼死', 'v')","('的', 'u')","('；', 'w')","('他們', 'r')","('那', 'r')","('時候', 'n')","('的', 'u')","('臉', 'n')","('色', 'n')","('，', 'w')","('全', 'a')","('沒', 'n')","('有', 'v')","('昨天', 'nt')","('這', 'v')","('麼', 'n')","('怕', 'v')","('，', 'w')","('也', 'd')","('沒', 'v')","('有', 'v')","('這', 'n')","('麼', 'v')","('凶', 'a')",,,,,,,,
16,"('在', 'p')","('研究', 'v')","('以赛亚', 'nd')","('三十三', 'm')","('、', 'w')","('三十四', 'm')","('章', 'n')","('时', 'nt')","('，', 'w')","('深信', 'v')","('一切', 'r')","('差', 'a')","('会', 'vu')","('在', 'p')","('华', 'j')","('的', 'u')","('机构', 'n')","('都', 'd')","('有一天', 'v')","('要', 'vu')","('消', 'v')","('没', 'v')","('，', 'w')","('在', 'p')","('大', 'a')","('磨难', 'n')","('时', 'nt')","('，', 'w')","('有', 'v')","('许多', 'a')","('人', 'n')","('因', 'c')","('惧怕', 'v')","('冷淡', 'a')","('、', 'w')","('跌倒', 'v')","('，', 'w')","('不敢', 'vu')","('承认', 'v')","('主', 'n')","('，', 'w')","('经过', 'p')","('大', 'a')","('磨难', 'n')","('后', 'nd')","('，', 'w')","('人心', 'n')","('方', 'n')","('饥渴', 'n')","('慕', 'v')","('义', 'n')",,,,,,,,,,,,,,,,,,,,
17,"('金笔', 'n')","('告诉', 'v')","('我', 'r')","('，', 'w')","('金地', 'nh')","('夫妇', 'n')","('因为', 'c')","('孩子', 'n')","('不肯', 'vu')","('穿衣', 'v')","('便', 'd')","('大', 'a')","('打', 'v')","('孩子', 'n')","('，', 'w')","('成为', 'v')","('全乡', 'n')","('笑料', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"('最初', 'nt')","('打', 'v')","('几条', 'm')","('鱼', 'n')","('时', 'nt')","('，', 'w')","('尚', 'd')","('知', 'v')","('归', 'v')","('荣耀', 'a')","('于', 'p')","('神', 'n')","('，', 'w')","('打鱼', 'v')","('打', 'v')","('多', 'a')","('了', 'u')","('，', 'w')","('就', 'd')","('喧宾夺主', 'i')","('，', 'w')","('不', 'd')","('将', 'd')","('荣耀', 'a')","('归于', 'v')","('神', 'n')","('，', 'w')","('反', 'v')","('自夸', 'v')","('自己', 'r')","('是', 'vl')","('老手', 'n')","('了', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"('七月三日', 'm')","('内', 'nd')","('人', 'n')","('锦华', 'n')","('因', 'c')","('小孩子', 'n')","('病', 'v')","('得', 'u')","('厉害', 'a')","('，', 'w')","('赶回', 'v')","('上海', 'ns')","('；', 'w')","('同日', 'nt')","('我', 'r')","('来', 'vd')","('香山', 'ns')","('，', 'w')","('暂', 'd')","('租', 'v')","('一', 'm')","('座', 'q')","('房子', 'n')","('，', 'w')","('在', 'p')","('这里', 'r')","('已', 'd')","('有', 'v')","('一个月', 'i')","('，', 'w')","('伤口', 'n')","('将近', 'v')","('痊愈', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"('温岭', 'n')","('会', 'vu')","('毕', 'v')","('后', 'nd')","('我', 'r')","('理当', 'v')","('去', 'v')","('山东', 'ns')","('峄', 'ns')","('县', 'n')","('，', 'w')","('要', 'vu')","('去', 'v')","('北方', 'nd')","('非常', 'd')","('危险', 'a')","('，', 'w')","('平阳', 'ns')","('、', 'w')","('瑞安', 'ns')","('、', 'w')","('南昌', 'ns')","('、', 'w')","('福建', 'ns')","('等', 'u')","('地', 'n')","('都', 'd')","('有', 'v')","('呼声', 'n')","('，', 'w')","('我', 'r')","('已经', 'd')","('去信', 'v')","('取消', 'v')","('去', 'v')","('峄', 'ns')","('县', 'n')","('、', 'w')","('济南', 'ns')","('、', 'w')","('烟台', 'ns')","('领会', 'v')","('的', 'u')","('邀请', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"('使', 'v')","('勁', 'n')","('地', 'u')","('抽', 'v')","('著', 'v')","('，', 'w')","('一口', 'd')","('煙', 'v')","('還', 'v')","('沒', 'n')","('有', 'v')","('吃完', 'v')","('，', 'w')","('何', 'r')","('八', 'm')","('爺', 'n')","('的', 'u')","('心思', 'n')","('又', 'd')","('火', 'v')","('一', 'm')","('樣', 'v')","('地', 'u')","('燃', 'v')","('燒', 'v')","('起', 'v')","('來', 'v')","('了', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"('假使', 'c')","('這', 'n')","('回', 'v')","('沒', 'ns')","('有', 'v')","('這個', 'n')","('叫做', 'v')","('什', 'm')","('麼', 'n')","('「', 'w')","('電', 'n')","('網', 'n')","('」', 'w')","('的', 'u')","('撈', 'n')","('什', 'm')","('子', 'n')","('東', 'v')","('西', 'nd')","('，', 'w')","('他', 'r')","('全家', 'n')","('決', 'v')","('不', 'd')","('會', 'v')","('弄成', 'v')","('這個', 'n')","('樣', 'n')","('子', 'k')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"('孩子', 'n')","('們', 'v')","('，', 'w')","('最初', 'nt')","('是', 'vl')","('鬧', 'v')","('著', 'v')","('，', 'w')","('叫', 'v')","('著', 'v')","('，', 'w')","('要', 'vu')","('吃', 'v')","('；', 'w')","('隨', 'n')","('後', 'n')","('，', 'w')","('便', 'd')","('躺在', 'v')","('艙', 'n')","('板上', 'nl')","('抱著', 'v')","('乾', 'n')","('癟', 'n')","('的', 'u')","('肚皮', 'n')","('哇啦', 'o')","('哇啦', 'o')","('地', 'u')","('哭', 'v')","('起', 'v')","('來', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"('只有', 'c')","('他', 'r')","('，', 'w')","('他', 'r')","('的', 'u')","('父', 'n')","('親', 'n')","('，', 'w')","('他', 'r')","('的', 'u')","('牛', 'n')","('，', 'w')","('…', 'w')","('…', 'w')","('他', 'r')","('拋', 'v')","('下', 'vd')","('了', 'u')","('老娘', 'n')","('和', 'c')","('妻子', 'n')","('，', 'w')","('他', 'r')","('跑', 'v')","('出來', 'v')","('當', 'v')","('兵', 'n')","('的', 'u')","('唯一', 'a')","('目的', 'n')","('是', 'vl')","('要', 'vu')","('替', 'v')","('父', 'n')","('親', 'v')","('報', 'v')","('仇', 'n')","('雪恨', 'n')","('，', 'w')","('作', 'v')","('個', 'n')","('把', 'p')","('大小', 'n')","('的', 'u')","('官', 'n')","('兒', 'v')","('回去', 'vd')","('吐', 'v')","('氣', 'n')","('揚', 'v')","('眉', 'n')","('的', 'u')",,,,,,,,,,,,,,,,,,,
25,"('當', 'nh')","('那', 'r')","('寒', 'a')","('雲', 'n')","('一', 'm')","('層', 'n')","('層', 'a')","('地', 'u')","('不住', 'v')","('地', 'u')","('加厚', 'v')","('的', 'u')","('時候', 'n')","('，', 'w')","('差不多', 'a')","('把', 'p')","('整', 'a')","('個', 'n')","('貧', 'v')","('民', 'n')","('窟', 'n')","('的', 'u')","('人', 'n')","('們', 'v')","('的', 'u')","('心', 'n')","('兒', 'n')","('，', 'w')","('都', 'd')","('吊起', 'v')","('來', 'v')","('了', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"('”', 'w')","('賈', 'v')","('母', 'n')","('說', 'n')","('道', 'v')","('：', 'w')","('“', 'w')","('又', 'd')","('胡', 'nhf')","('說', 'v')","('了', 'u')","('，', 'w')","('帳', 'n')","('子', 'k')","('的', 'u')","('檐子', 'n')","('是', 'vl')","('紅', 'n')","('的', 'u')","('，', 'w')","('火', 'n')","('光照', 'v')","('著', 'v')","('，', 'w')","('自然', 'd')","('紅', 'n')","('是', 'vl')","('有', 'v')","('的', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"('”', 'w')","('紫', 'a')","('鵑', 'n')","('听', 'v')","('了', 'u')","('，', 'w')","('赶', 'v')","('著', 'v')","('命', 'n')","('小', 'a')","('丫', 'n')","('頭', 'n')","('們', 'v')","('將', 'n')","('這', 'n')","('風', 'n')","('箏', 'v')","('送出', 'v')","('与', 'c')","('園', 'n')","('門', 'n')","('上', 'nd')","('值日', 'v')","('的', 'u')","('婆子', 'n')","('去', 'v')","('了', 'u')","('，', 'w')","('倘', 'c')","('有人', 'r')","('來', 'v')","('找', 'v')","('，', 'w')","('好', 'a')","('与', 'c')","('他們', 'r')","('去', 'v')","('的', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"('”', 'w')","('平儿', 'nhs')","('笑道', 'v')","('：', 'w')","('“', 'w')","('你', 'r')","('只', 'd')","('和', 'p')","('老太太', 'n')","('說', 'v')","('，', 'w')","('就', 'd')","('說', 'v')","('已', 'd')","('經', 'v')","('給', 'v')","('了', 'u')","('璉', 'n')","('二', 'm')","('爺', 'v')","('了', 'u')","('，', 'w')","('大老', 'n')","('爺', 'n')","('就', 'd')","('不好', 'a')","('要', 'v')","('了', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"('收', 'v')","('糧', 'n')","('的', 'u')","('時', 'n')","('侯', 'n')","('，', 'w')","('衙', 'n')","('門', 'n')","('里', 'nd')","('便', 'd')","('說', 'v')","('新', 'a')","('道', 'n')","('爺', 'n')","('的', 'u')","('法令', 'n')","('，', 'w')","('明', 'nt')","('是', 'vl')","('不敢', 'vu')","('要', 'vu')","('錢', 'v')","('，', 'w')","('這', 'v')","('一', 'm')","('留', 'v')","('難', 'n')","('叨', 'v')","('蹬', 'v')","('，', 'w')","('那些', 'r')","('鄉', 'v')","('民心', 'n')","('里', 'nd')","('愿意', 'vu')","('花', 'v')","('几', 'm')","('個', 'n')","('錢', 'n')","('早早', 'v')","('了', 'u')","('事', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"('只', 'd')","('見', 'v')","('王', 'nhf')","('夫人', 'n')","('气色', 'n')","('更', 'd')","('變', 'v')","('，', 'w')","('只', 'd')","('帶', 'v')","('一', 'm')","('個', 'n')","('貼', 'v')","('己', 'r')","('的', 'u')","('小', 'a')","('丫', 'n')","('頭', 'n')","('走', 'v')","('來', 'n')","('，', 'w')","('一', 'm')","('語', 'n')","('不', 'd')","('發', 'v')","('，', 'w')","('走', 'v')","('至', 'v')","('里', 'nd')","('間', 'n')","('坐下', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"('這', 'v')","('西', 'nd')","('門', 'v')","('慶', 'n')","('心中', 'nl')","('大怒', 'v')","('，', 'w')","('把', 'p')","('孫', 'v')","('雪', 'n')","('娥', 'n')","('打', 'v')","('了', 'u')","('一', 'm')","('頓', 'n')","('，', 'w')","('被', 'p')","('月娘', 'n')","('再三', 'd')","('勸', 'v')","('了', 'u')","('，', 'w')","('拘', 'v')","('了', 'u')","('他', 'r')","('頭', 'v')","('面', 'n')","('衣服', 'n')","('，', 'w')","('只', 'd')","('教', 'v')","('他', 'r')","('伴著', 'v')","('家人', 'n')","('媳', 'n')","('婦', 'n')","('上', 'nd')","('竈', 'n')","('，', 'w')","('不', 'd')","('許', 'v')","('他', 'r')","('見', 'v')","('人', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"('其', 'r')","('餘', 'n')","('酒店', 'n')","('中', 'nd')","('家', 'n')","('活', 'v')","('，', 'w')","('共', 'd')","('算了', 'v')","('五十', 'm')","('兩', 'n')","('，', 'w')","('陳', 'n')","('敬', 'v')","('濟', 'n')","('狀', 'v')","('上告', 'v')","('著', 'v')","('九百', 'm')","('兩', 'n')","('，', 'w')","('還', 'n')","('差', 'a')","('三百五十', 'm')","('兩', 'q')","('銀', 'n')","('子', 'k')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"('這', 'n')","('一日', 'i')","('你', 'r')","('也', 'd')","('莫', 'd')","('來', 'v')","('，', 'w')","('直至', 'v')","('第三', 'm')","('日', 'nt')","('，', 'w')","('晌午', 'nt')","('前後', 'nt')","('，', 'w')","('你', 'r')","('整整', 'd')","('齊', 'v')","('齊', 'n')","('打扮', 'v')","('了', 'u')","('來', 'n')","('，', 'w')","('以', 'p')","('咳嗽', 'v')","('為', 'n')","('號', 'n')","('，', 'w')","('你', 'r')","('在', 'p')","('門', 'n')","('前', 'nd')","('叫道', 'v')","('：', 'w')","('‘', 'w')","('怎的', 'r')","('連', 'n')","('日', 'nt')","('不', 'd')","('見', 'v')","('王', 'nhf')","('乾', 'n')","('娘', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"('”', 'w')","('張', 'n')","('川', 'n')","('兒', 'n')","('接', 'v')","('過', 'n')","('來', 'v')","('道', 'v')","('：', 'w')","('“', 'w')","('你', 'r')","('老人家', 'n')","('不', 'd')","('說', 'v')","('，', 'w')","('小', 'a')","('的', 'u')","('也', 'd')","('不敢', 'vu')","('說', 'v')","('，', 'w')","('這個', 'n')","('可是', 'd')","('使', 'v')","('不', 'd')","('的', 'u')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"('”', 'w')","('西', 'nd')","('門', 'n')","('慶', 'v')","('聽', 'v')","('了', 'u')","('大喜', 'v')","('道', 'v')","('：', 'w')","('“', 'w')","('雖', 'a')","('然', 'k')","('上', 'v')","('不得', 'vu')","('凌', 'v')","('煙', 'n')","('閣', 'n')","('，', 'w')","('乾', 'n')","('娘', 'n')","('你', 'r')","('這', 'v')","('條', 'n')","('計', 'n')","('，', 'w')","('端', 'v')","('的', 'u')","('絕', 'n')","('品', 'n')","('好', 'd')","('妙', 'a')","('計', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"('即', 'd')","('將', 'n')","('洞中', 'nl')","('大', 'a')","('小妖精', 'n')","('點', 'v')","('起', 'v')","('，', 'w')","('果然', 'd')","('選', 'v')","('出', 'vd')","('三', 'm')","('個', 'n')","('有', 'v')","('能', 'n')","('的', 'u')","('小妖', 'n')","('，', 'w')","('俱', 'd')","('變', 'v')","('做', 'v')","('老妖', 'n')","('，', 'w')","('各', 'r')","('執', 'n')","('鐵', 'v')","('杵', 'n')","('，', 'w')","('埋伏', 'v')","('等待', 'v')","('唐僧', 'nh')","('不', 'd')","('題', 'v')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"('」', 'w')","('行者', 'n')","('上前', 'v')","('，', 'w')","('奪', 'n')","('過', 'v')","('刀', 'n')","('來', 'n')","('，', 'w')","('把', 'p')","('個', 'n')","('穿', 'v')","('黃', 'n')","('的', 'u')","('割下', 'v')","('頭', 'n')","('來', 'n')","('，', 'w')","('血淋淋', 'a')","('提', 'v')","('在', 'p')","('手中', 'nl')","('，', 'w')","('收', 'v')","('了', 'u')","('鐵', 'n')","('棒', 'n')","('，', 'w')","('拽', 'v')","('開', 'v')","('雲', 'n')","('步', 'n')","('，', 'w')","('趕', 'v')","('到', 'v')","('唐僧', 'nh')","('馬', 'n')","('前', 'nd')","('，', 'w')","('提', 'v')","('著', 'v')","('頭', 'n')","('道', 'v')","('：', 'w')","('「', 'w')","('師', 'v')","('父', 'n')","('，', 'w')","('這', 'n')","('是', 'vl')","('楊', 'n')","('老', 'a')","('兒', 'n')","('的', 'u')","('逆子', 'n')","('，', 'w')","('被', 'p')","('老', 'a')","('孫', 'n')","('取', 'v')","('將', 'n')","('首', 'n')","('級', 'n')","('來', 'n')","('也', 'd')",,,,,,
38,"('煩', 'nhf')","('二', 'm')","('位', 'q')","('道', 'n')","('長', 'n')","('將', 'n')","('這', 'v')","('裏', 'n')","('地名', 'n')","('，', 'w')","('君王', 'n')","('好', 'a')","('道', 'n')","('愛', 'v')","('賢', 'n')","('之', 'u')","('事', 'n')","('，', 'w')","('細', 'v')","('說', 'n')","('一遍', 'i')","('，', 'w')","('足見', 'n')","('同道', 'n')","('之', 'u')","('情', 'n')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
