,sent_idx,tok,m_tag,k_tag
320,35,上,v,nd
321,35,得,u,vu
322,35,凌煙閣,ns,v
323,35,乾娘,nh,v
324,35,這,r,v
325,35,條,q,n
326,35,絕品,a,n
327,36,將,p,n
328,36,大小,b,n
329,36,起,d,v
330,36,出,d,vd
331,36,個,q,n
332,36,有能,a,v
333,36,各,d,r
334,36,執,v,n
335,37,行者,nh,n
336,37,奪,v,n
337,37,過,d,v
338,37,來,d,n
339,37,個,q,n
340,37,黃,a,n
341,37,來,d,n
342,37,手中,n,nl
343,37,到,p,v
344,37,著,u,v
345,37,這,r,n
346,37,是,v,vl
347,37,楊老兒,nh,n
348,37,老孫,nh,n
349,37,將,v,n
350,37,來,v,n
351,37,也,u,d
352,38,煩,v,nhf
353,38,將,p,v
354,38,這裏,r,n
355,38,好,v,a
356,38,細,d,v
357,38,足,d,a
358,39,猴王,nh,n
359,39,將,p,v
360,39,縱,v,n
361,39,起,d,v
362,39,下,nd,v
363,39,觀看,v,n
364,39,是,v,vl
365,39,險峻,a,n
366,40,東土大唐,ns,n
367,40,遠,d,n
368,40,個,q,n
369,40,孫長老,nh,n
370,40,現在,nt,n
371,40,內,nd,n
372,40,要,v,vu
373,40,王,n,nhf
374,40,親自,d,n
375,40,手到病除,i,n
376,41,言,n,v
377,41,畢,v,n
378,41,著,u,v
379,41,這些,r,n
380,41,無,v,n
381,41,考究,n,a
382,41,半截,m,q
383,41,跟,v,c
384,41,著,u,v
385,42,玉狐,nh,nhs
386,42,親切,d,n
387,42,含笑,d,v
388,42,答,d,v
389,42,萍水相逢,i,nhs
390,42,敢,v,vu
391,43,苦,d,a
392,43,煉,v,n
393,43,向,v,p
394,43,善,n,a
395,43,可,v,vu
396,44,妥,d,a
397,44,胡小姐,nh,n
398,44,那等,d,r
399,44,真,d,a
400,44,生來,a,n
401,44,為,v,n
402,44,整,b,a
403,44,注,q,v
404,44,不足,d,a
405,44,比喻,v,n
406,45,況,c,n
407,45,與,p,v
408,45,玉狐,nh,n
409,45,幻術,n,v
410,45,攏住,v,n
411,45,莫說,c,nh
412,45,即,c,d
413,45,是,v,vl
414,45,個,q,v
415,45,此等,n,r
416,45,美貌,n,a
417,45,多情,n,a
418,46,著,u,v
419,46,個,q,n
420,46,艙,n,v
421,46,方方,a,nh
422,46,來,u,n
423,46,大,n,a
424,46,兩,m,n
425,46,面,q,n
426,46,排,q,n
427,46,扇,q,n
428,46,為,v,a
429,46,整齊,a,v
430,46,潔淨,a,n
431,46,裏面,nd,v
432,46,個,q,n
433,47,一日,m,i
434,47,薩克森船,nz,n
435,47,將,d,ns
436,47,近,v,a
437,47,曉色,n,v
438,47,蒼然,a,n
439,48,伯黻,nh,n
440,48,這,r,v
441,48,笑庵,nh,v
442,48,和,p,c
443,48,全,d,a
444,48,小玉,nh,nhs
445,48,小玉,nh,nhs
446,48,得了,u,v
447,49,況且,c,n
448,49,加克奈夫,nh,v
449,49,是,v,vl
450,49,素來,d,n
451,49,起,d,v
452,49,還,d,v
453,50,子固,nh,nhs
454,50,這,r,n
455,50,身上,n,nl
456,50,和,p,c
457,50,敢,v,vu
