,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
16,p,v,p,nr,w,m,n,w,v,r,n,v,v,u,n,d,d,v,v,w,p,a,n,n,w,v,n,p,v,n,w,v,w,v,v,n,w,p,a,n,f,w,n,a,n,,,,,,,,,,,,,,,
17,nr,v,w,nr,n,p,n,v,v,d,v,n,w,v,n,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,d,v,m,n,n,w,d,v,v,n,p,n,w,v,v,a,x,w,d,v,w,d,p,n,v,n,w,d,v,r,v,n,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,t,n,nr,p,n,v,u,a,w,v,ns,w,n,r,v,ns,w,d,v,m,n,w,d,v,n,w,n,d,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ns,v,v,f,r,v,v,ns,ns,w,v,v,s,d,a,w,ns,w,ns,w,ns,w,ns,u,n,d,v,n,w,r,d,v,n,v,v,ns,w,ns,w,ns,v,u,n,,,,,,,,,,,,,,,,,
21,v,u,v,u,w,m,n,d,v,v,w,nr,u,n,d,a,a,u,v,v,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,c,r,v,r,v,r,w,n,w,u,n,n,w,r,n,v,v,r,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,n,w,d,v,v,u,w,v,u,w,v,v,w,d,w,d,v,p,n,f,v,a,u,n,x,x,u,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,c,r,w,r,u,n,w,r,u,n,w,w,w,r,v,v,u,n,c,n,w,r,v,v,u,a,n,v,v,p,n,v,w,v,q,n,u,n,v,v,v,u,,,,,,,,,,,,,,,,,,
25,p,r,n,n,u,v,u,v,u,n,w,d,p,a,n,u,n,u,n,w,d,v,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,w,nr,v,w,w,d,v,x,w,n,u,n,v,a,u,w,n,v,u,w,d,v,v,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,w,nr,v,u,w,v,u,n,n,p,r,n,v,p,n,s,d,u,n,v,x,w,c,r,v,v,w,d,p,r,v,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,w,nr,v,v,w,w,r,d,p,n,v,w,d,v,d,v,u,nr,n,x,w,a,n,d,d,v,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,v,n,u,n,w,n,f,d,v,n,u,n,w,v,v,v,w,r,m,n,v,w,r,n,s,v,v,m,n,d,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,v,nr,n,d,v,w,d,v,m,v,r,u,n,v,w,v,w,v,f,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,r,nr,s,a,w,p,nr,v,u,m,w,p,nr,d,v,x,w,v,u,r,n,n,w,d,v,r,v,u,n,n,v,w,v,r,v,n,,,,,,,,,,,,,,,,,,,,,,,,
32,r,n,f,n,w,d,v,u,m,w,nr,n,f,v,m,w,d,v,m,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,r,m,r,d,v,w,p,t,w,t,f,w,r,d,v,u,v,w,p,n,v,n,w,r,p,n,v,v,w,w,r,u,d,v,nr,,,,,,,,,,,,,,,,,,,,,,,,,
34,w,nr,d,v,w,w,r,n,d,v,w,a,u,d,v,v,w,r,d,v,d,u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,w,nr,v,u,n,w,w,c,f,v,nr,w,n,r,r,q,n,w,v,u,n,a,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,d,s,n,n,v,v,w,d,v,m,a,u,n,w,d,v,v,n,w,r,v,w,n,v,nr,d,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,w,n,v,w,v,u,n,v,w,p,q,v,a,u,v,n,v,w,n,v,p,s,w,v,u,n,w,v,v,n,w,v,nr,f,w,v,u,n,w,w,n,w,r,v,nr,u,n,w,p,n,v,d,n,v,d,,,,,
38,a,n,p,r,n,w,n,d,v,u,n,w,v,m,w,v,n,u,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,w,a,n,w,v,w,v,w,m,v,w,p,f,v,w,v,m,n,w,d,d,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,v,n,ns,v,v,u,m,n,nr,v,u,w,t,v,s,w,v,nr,d,v,v,r,w,r,v,n,v,n,v,u,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,w,v,v,w,v,u,p,r,v,w,p,r,v,a,u,n,v,u,n,w,v,nr,d,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,nr,v,nr,v,a,w,v,r,n,d,v,w,d,v,v,w,w,v,w,d,nr,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,c,n,v,n,w,v,v,w,nr,t,m,nr,w,d,v,v,u,ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,w,n,v,a,w,d,d,v,nr,u,n,w,r,u,a,w,d,d,v,u,n,v,n,v,n,w,a,w,d,v,n,a,n,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,w,n,nr,r,p,nr,v,w,d,p,r,v,v,w,v,v,v,w,v,r,r,v,r,v,q,n,w,v,r,u,n,a,w,n,d,d,v,,,,,,,,,,,,,,,,,,,,,,,
46,v,u,r,n,d,a,w,m,n,w,a,m,v,a,w,n,a,n,w,m,nz,w,n,n,n,w,v,u,d,p,a,a,w,f,m,n,,,,,,,,,,,,,,,,,,,,,,,,
47,m,w,ns,n,d,v,ns,w,d,ns,u,n,w,n,d,a,a,w,a,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,nr,w,n,w,nr,r,c,v,d,d,v,u,nr,w,d,r,v,w,v,nr,p,r,v,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,c,nr,d,v,r,v,v,u,w,r,v,r,n,w,d,v,r,x,w,r,v,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,w,nr,w,w,n,v,p,r,s,w,t,v,n,v,p,r,v,n,w,v,r,d,v,v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
