Book,Sentence
,温岭_ns/会_n/毕_v/后_n/我_r/理当_v/去_v/山东_n/峄县_ns/，_w/要_c/去_v/北方_n/非常_a/危险_a/，_w/平阳_ns/、_w/瑞安_ns/、_w/南昌_ns/、_w/福建_ns/等_n/地_n/都_d/有_v/呼声_n/，_w/我_r/已经_d/去_v/信_n/取消_v/去_v/峄县_ns/、_w/济南_ns/、_w/烟台_ns/领会_ns/的_u/邀请_n
丰收,使勁_d/地_u/抽_v/著_u/，_w/一_m/口_q/煙_n/還_d/沒有_d/吃_v/完_v/，_w/何八爺_nr/的_u/心思_n/又_d/火_n/一樣_a/地_u/燃燒_v/起來_vd/了_u
,假使_c/這_r/回_q/沒有_v/這個_r/叫_v/做_v/什麼_n/「_w/電網_n/」_w/的_u/撈什子_n/東西_n/，_w/他_r/全家_n/決_d/不_v/會_v/弄_v/成_v/這個_r/樣子_n
,孩子_n/們_k/，_w/最初_n/是_v/鬧_v/著_u/，_w/叫_v/著_u/，_w/要_v/吃_v/；_w/隨後_n/，_w/便_d/躺在_v/艙板_n/上_f/抱_v/著_u/乾癟_a/的_u/肚皮_n/哇啦哇啦_o/地_u/哭_v/起來_vd
,只有_v/他_r/，_w/他_r/的_u/父親_n/，_w/他_r/的_u/牛_n/，_w/……_w/他_r/拋下_v/了_u/老娘_n/和_c/妻子_n/，_w/他_r/跑_v/出來_f/當兵_v/的_u/唯一_b/目的_n/是_u/要_v/替_v/父親_n/報仇雪恨_i/，_w/作_v/個把_m/大小_a/的_u/官兒_n/回去_v/吐氣揚眉_i/的_u
,當_p/那_r/寒雲_n/一層層_d/地_u/不住_d/地_u/加厚_v/的_u/時候_n/，_u/差不多_d/把_v/整個_a/貧民窟_n/的_u/人們_n/的_u/心兒_n/，_w/都_d/吊_v/起來_vd/了_u
红楼梦,”_w/賈母_nr/說_v/道_v/：_w/“_w/又_d/胡說_v/了_u/，_w/帳子_n/的_u/檐子_n/是_v/紅_a/的_u/，_w/火光_n/照_v/著_u/，_w/自然_d/紅_n/是_v/有_v/的_u
,”_w/紫鵑_nr/听_v/了_u/，_w/赶_v/著_u/命_v/小丫頭_n/們_s/將_p/這_r/風箏_n/送_v/出_f/与_v/園門_n/上_f/值日_v/的_u/婆子_n/去_f/了_u/，_w/倘_c/有人_n/來_v/找_v/，_w/好_d/与_v/他們_r/去_f/的_u
,”_w/平儿_nr/笑_v/道_v/：_w/“_w/你_r/只_d/和_p/老太太_n/說_v/，_w/就_d/說_v/已經_d/給_v/了_u/璉二爺_nr/了_u/，_w/大老爺_nr/就_d/不好_d/要_v/了_u
,收糧_v/的_u/時侯_n/，_w/衙門_nt/里_f/便_d/說_v/新_a/道爺_n/的_u/法令_n/，_w/明_d/是_v/不_vd/敢_v/要_v/錢_n/，_w/這_r/一留_n/難_d/叨蹬_v/，_w/那些_r/鄉民_n/心里_n/愿意_v/花_v/几個_m/錢_n/早早_d/了事_v
,只見_v/王夫人_nr/气色_n/更變_v/，_w/只_d/帶_v/一_m/個_q/貼己_a/的_u/小丫頭_n/走_v/來_f/，_w/一語不發_i/，_w/走_v/至_f/里間_n/坐下_v
金瓶梅,這_r/西門慶_nr/心中_n/大_d/怒_v/，_w/把_p/孫雪娥_nr/打_v/了_u/一頓_m/，_w/被_p/月娘_nr/再三_d/勸_v/了_u/，_w/拘_v/了_u/他_r/頭面_n/衣服_n/，_w/只_d/教_w/他_r/伴_v/著_u/家人_n/媳婦_n/上竈_v/，_w/不_d/許_v/他_r/見_v/人_n
,其餘_r/酒店_n/中_f/家活_n/，_w/共_d/算_v/了_u/五十_m/兩_q/，_w/陳敬濟_nr/狀_n/上_f/告_v/著_u/九百_m/兩_q/，_w/還_d/差_v/三百五十_m/兩_q/銀子_n
,這_r/一_m/日_q/你_r/也_d/莫_d/來_v/，_w/直_d/至_v/第_h/三_m/日_q/，_w/晌午_t/前後_n/，_w/你_r/整整齊齊_z/打扮_v/了_u/來_v/，_w/以_p/咳嗽_vn/為_v/號_b/，_w/你_r/在_v/門_n/前_f/叫_v/道_v/：_w/‘_w/怎的_r/連日_t/不見_v/王乾娘_nr
,”_w/張川兒_nr/接_v/過來_f/道_v/：_w/“_w/你_r/老人家_n/不_d/說_v/，_w/小的_r/也_d/不_d/敢_v/說_v/，_w/這個_r/可_d/是_v/使不的_vn
,”_w/西門慶_nr/聽_v/了_u/大_d/喜__v/道_v/：_w/“_w/雖然_c/上_v/不_d/得_d/凌煙閣_ns/，_w/乾娘_nr/你_r/這_r/條_q/計_n/，_w/端_v/的_u/絕品_a/好_a/妙_a/計_n
西游记,即_d/將_p/洞_n/中_f/大小_b/妖精_n/點_v/起_vd/，_w/果然_d/選_v/出_vd/三_m/個_q/有能_a/的_u/小妖_n/，_w/俱_d/變做_v/老妖_n/，_w/各_d/執_v/鐵杵_n/，_w/埋伏_v/等待_v/唐僧_nr/不題_v
,」_w/行者_nr/上前_v/，_w/奪_v/過_vd/刀_n/來_v/，_w/把_p/個_q/穿_v/黃_a/的_u/割下_v/頭_n/來_vd/，_w/血淋淋_z/提_v/在_p/手中_n/，_w/收_v/了_u/鐵棒_w/，_w/拽開_v/雲步_n/，_w/趕_v/到_p/唐僧_nr/馬_n/前_f/，_w/提_v/著_u/頭_n/道_v/：_w/「_w/師父_n/，_w/這_r/是_v/楊老兒_nr/的_u/逆子_n/，_w/被_p/老孫_nr/取_v/將_n/首級_n/來_v/也_u
,煩_v/二_m/位_q/道長_n/將_p/這裏_r/地名_n/，_w/君王_n/好_v/道_d/愛_v/賢_an/之_u/事_n/，_w/細_ad/說_v/一_m/遍_q/，_w/足_d/見_v/同道_n/之_u/情_n
,」_w/好_a/猴王_nr/，_w/將_p/身_n/一_m/縱_vn/，_w/跳_v/起_vd/去_v/，_w/一路_n/觔斗_v/，_w/直_d/至_v/北_f/下_f/觀看_v/，_w/見_v/一_m/座_q/高山_n/，_w/真_ad/是_v/十分_a/險峻_a
,有_p/東土大唐_ns/遠_d/來_v/取經_vn/的_u/一_m/個_q/聖僧_n/孫長老_nr/揭_v/了_u/，_w/現在_n/會同_v/館_n/內_f/，_w/要_v/王_n/親自_d/去_v/請_v/他_r/，_w/他_r/有_v/手到病除_l/之_u/功_n
狐狸缘全传,」_w/言_v/畢_d/起身_v/，_w/付_v/著_u/與_p/他_r/看_v/，_w/朝_v/這些_r/無_v/考究_n/的_u/人_n/作_v/了_u/半截_m/揖_n/，_w/跟_v/著_u/蒼頭_n/便_d/走_v
,玉狐_nr/見_w/周生_nr/說話_v/親切_ad/，_w/便_d/知_v/其_r/心_n/已_d/動_v/，_w/乃_d/含笑_vd/答_v/道_v/：_w/「_w/萍水相逢_i/，_w/何_r/敢_v/周公子_nr/拜訪_v
,倘若_c/妖狐_n/回頭_v/苦_ad/煉_v/，_w/向_v/善_ad/改_v/惡_ad/，_w/山人_n/今日_t/一_m/施_v/恩惠_n/，_w/便_d/可_v/保住_v/了_u/金丹_n/大道_n
,」_w/主意_n/想_v/妥_d/，_w/頃刻_n/仍_d/復_v/成_p/胡小姐_nr/的_u/模樣_n/，_w/那等_r/好看_a/，_w/真_n/似_v/生來_a/的_u/秋水_n/為_v/神_n/玉_n/為_v/骨_n/，_w/芙蓉_n/如_v/面_n/柳_n/如_v/眉_n/，_w/整_b/注_q/游_v/龍_n/不足_d/比喻_v
,」_w/況_c/周生_nr/自_p/與_p/玉狐_nr/相遇_v/，_w/已_n/被_p/他_r/幻術_n/攏住_v/，_w/莫說_c/無_m/人_n/指破_v/，_w/即_v/此_r/有人_n/說_v/他_r/是_v/個_q/妖精_n/，_w/見_v/此等_n/美貌_n/多情_an/，_w/公子_n/亦_d/不_d/相信_v
孽海花,看_v/著_u/那_r/船_n/很_d/寬敞_a/，_w/一_m/個_q/中_f/艙_n/，_w/方方_/一_m/丈_q/來_n/大_a/，_w/兩_m/面_q/短_a/欄_n/，_w/一_m/排_q/六_m/扇_q/玻璃_n/蕉葉_n/窗_n/，_w/炕_n/床_n/桌_n/椅_n/，_w/鋪設_v/得_u/很_d/為_v/整齊_a/潔淨_a/，_w/裏面_f/三_m/個_q/房艙_n
,一日_m/，_w/薩克森船_nz/正_d/過_v/地中海_ns/，_w/將_d/近_v/意大利_ns/的_u/火山_n/，_w/時_n/正_d/清早_n/，_w/曉色_n/蒼然_a
,伯黻_nr/，_w/這_r/件_q/事_n/，_w/笑庵_nr/自己_r/和_p/親供_n/一般_a/地_u/全_ad/告訴_v/了_u/小玉_nr/，_w/不必_d/他_r/講_v/，_w/叫_v/小玉_nr/替_p/他_r/講_v/得了_u
,況且_v/加克奈夫_nr/又_d/是_v/她_r/素來_d/厭恨_v/的_u/，_w/上回_n/談_v/起_vd/他_r/名氏_n/，_w/還_d/罵_v/他_r/哩_y/，_w/如何_r/倒_d/嫁_v/他_r
,」_w/子固_nr/道_v/：_w/「_w/這_r/事_n/包_v/在_p/我_r/身上_n/，_w/明天_t/就_d/叫_v/人_n/去_v/和_p/他_r/開_v/談判_vn/，_w/料_v/他_r/也_d/不_d/敢_v/不_d/依_v
