Book,Sentence
,最初_d/打_v/几_m/条_q/鱼_n/时_t/，_w/尚_d/知_v/归_v/荣耀_an/于_p/神_n/，_w/打_v/鱼_n/打_v/多_d/了_u/，_w/就_c/喧宾夺主_i/，_w/不_d/将_v/荣耀_an/归_v/于_p/神_n/，_w/反_v/自夸_v/自己_p/是_v/老手_n/了_u
,七月_t/三日_t/内人_n/锦华_nr/因_c/小孩子_n/病_vn/得_u/厉害_d/，_w/赶_v/回_f/上海_ns/；_w/同_a/日_t/我_r/来_v/香山_ns/，_w/暂_d/租_v/一_m/座_q/房子_n/，_w/在_p/这里_r/已_d/有_v/一个_m/月_t/，_w/伤口_n/将近_d/痊愈_v
,温岭_ns/会_n/毕_v/后_p/我_r/理当_v/去_v/山东_ns/峄县_ns/，_w/要_v/去_v/北方_s/非常_d/危险_a/，_w/平阳_ns/、_w/瑞安_ns/、_w/南昌_ns/、_w/福建_ns/等_k/地_n/都_d/有_v/呼声_n/，_w/我_r/已经_d/去_v/信_n/取消_v/去_v/峄县_ns/、_w/济南_ns/、_w/烟台_ns/领会_n/的_u/邀请_vn
丰收,使勁_v/地_u/抽_v/著_u/，_w/一_m/口_q/煙_n/還_d/沒有_d/吃_v/完_d/，_w/何八爺_nr/的_u/心思_n/又_d/火_n/一樣_a/地_u/燃燒_v/起來_vd/了_u
,假使_c/這_r/回_q/沒有_d/這個_r/叫_v/做_p/什麼_r/「_w/電網_n/」_w/的_u/撈什子_n/東西_n/，_w/他_r/全家_n/決_d/不_d/會_v/弄_v/成_vd/這個_r/樣子_n
,孩子_n/們_k/，_w/最初_d/是_v/鬧_v/著_u/，_w/叫_v/著_u/，_w/要_v/吃_v/；_w/隨後_d/，_w/便_d/躺在_v/艙板_n/上_f/抱_v/著_u/乾癟_a/的_u/肚皮_n/哇啦哇啦_o/地_u/哭_v/起來_vd
,只有_d/他_r/，_w/他_r/的_u/父親_n/，_w/他_r/的_u/牛_n/，_w/……_w/他_r/拋下_v/了_u/老娘_n/和_c/妻子_n/，_w/他_r/跑_v/出來_vd/當兵_v/的_u/唯一_a/目的_n/是_v/要_v/替_v/父親_n/報仇雪恨_i/，_w/作_v/個把_q/大小_a/的_u/官兒_n/回去_f/吐氣揚眉_i/的_u
,當_c/那_r/寒雲_n/一層層_m/地_u/不住_d/地_u/加厚_v/的_u/時候_t/，_w/差不多_d/把_p/整個_m/貧民窟_n/的_u/人們_n/的_u/心兒_n/，_w/都_d/吊_v/起來_vd/了_u
红楼梦,”_w/賈母_nr/說_vd/道_v/：_w/“_w/又_d/胡說_v/了_u/，_w/帳子_n/的_u/檐子_n/是_v/紅_a/的_u/，_w/火光_n/照_v/著_u/，_w/自然_d/紅_a/是_v/有_a/的_u
,”_w/紫鵑_nr/听_v/了_u/，_w/赶_v/著_u/命_v/小丫頭_n/們_k/將_v/這_r/風箏_n/送_v/出_f/与_v/園門_s/上_f/值日_v/的_u/婆子_n/去_v/了_u/，_w/倘_c/有人_r/來_v/找_v/，_w/好_d/与_v/他們_r/去_v/的_u
,”_w/平儿_nr/笑_vd/道_v/：_w/“_w/你_r/只_d/和_p/老太太_nr/說_v/，_w/就_d/說_v/已經_d/給_v/了_u/璉二爺_nr/了_u/，_w/大老爺_nr/就_d/不好_d/要_v/了_u
,收糧_v/的_u/時侯_t/，_w/衙門_nt/里_f/便_d/說_v/新_z/道爺_n/的_u/法令_n/，_w/明_d/是_v/不_d/敢_v/要_v/錢_n/，_w/這_r/一留_v/難_d/叨蹬_v/，_w/那些_r/鄉民_n/心里_n/愿意_v/花_v/几個_m/錢_n/早早_d/了事_v
,只見_v/王夫人_nr/气色_n/更變_v/，_w/只_d/帶_v/一_m/個_q/貼己_a/的_u/小丫頭_n/走_vd/來_v/，_w/一語不發_i/，_w/走_v/至_p/里間_s/坐下_v
金瓶梅,這_r/西門慶_nr/心中_n/大_d/怒_a/，_w/把_p/孫雪娥_nr/打_v/了_u/一頓_m/，_u/被_u/月娘_nr/再三_d/勸_v/了_u/，_w/拘_v/了_u/他_r/頭面_n/衣服_n/，_w/只_d/教_v/他_r/伴_v/著_u/家人_n/媳婦_n/上竈_v/，_w/不_d/許_v/他_r/見_v/人_n
,其餘_r/酒店_n/中_f/家活_n/，_w/共_d/算_v/了_u/五十_m/兩_q/，_w/陳敬濟_nr/狀_n/上_f/告_v/著_u/九百_m/兩_q/，_w/還_d/差_vn/三百五十_m/兩_q/銀子_n
,這_r/一_m/日_t/你_r/也_d/莫_d/來_v/，_w/直_d/至_p/第_h/三_m/日_t/，_w/晌午_t/前後_d/，_w/你_r/整整齊齊_z/打扮_v/了_u/來_v/，_w/以_v/咳嗽_n/為_p/號_n/，_w/你_r/在_p/門_s/前_f/叫_vd/道_v/：_w/‘_w/怎的_y/連日_d/不見_v/王乾娘_nr
,”_w/張川兒_nr/接_v/過來_vd/道_v/：_w/“_w/你_r/老人家_nd/不_d/說_v/，_w/小的_n/也_d/不_d/敢_v/說_v/，_w/這個_r/可_d/是_v/使不的_a
,”_w/西門慶_nr/聽_v/了_u/大_d/喜_a/道_v/：_w/“_w/雖然_c/上_v/不_d/得_v/凌煙閣_ns/，_w/乾娘_nr/你_r/這_r/條_q/計_n/，_w/端_v/的_u/絕品_a/好_a/妙_a/計_n
西游记,即_d/將_v/洞_n/中_f/大小_z/妖精_n/點_v/起_vd/，_w/果然_d/選_v/出_f/三_m/個_q/有能_a/的_u/小妖_n/，_w/俱_d/變做_v/老妖_n/，_w/各_d/執_v/鐵杵_n/，_w/埋伏_v/等待_v/唐僧_nr/不題_v
,」_w/行者_n/上前_v/，_w/奪_v/過_f/刀_n/來_u/，_w/把_p/個_q/穿_v/黃_a/的_u/割下_v/頭_n/來_u/，_w/血淋淋_a/提_v/在_f/手中_n/，_w/收_v/了_u/鐵棒_n/，_w/拽開_v/雲步_n/，_w/趕_v/到_p/唐僧_nr/馬_n/前_f/，_w/提_v/著_u/頭_n/道_v/：_w/「_w/師父_n/，_w/這_r/是_v/楊老兒_nr/的_u/逆子_n/，_w/被_u/老孫_nr/取_v/將_v/首級_n/來_v/也_y
,煩_v/二_m/位_q/道長_n/將_v/這裏_r/地名_n/，_w/君王_n/好_v/道_n/愛_v/賢_an/之_u/事_n/，_w/細_d/說_v/一_m/遍_q/，_w/足_d/見_v/同道_a/之_y/情_n
,」_w/好_a/猴王_n/，_w/將_v/身_n/一_m/縱_v/，_w/跳_v/起_vd/去_v/，_w/一路_n/觔斗_n/，_w/直_d/至_v/北_f/下_f/觀看_v/，_w/見_v/一_m/座_q/高山_n/，_w/真_d/是_v/十分_d/險峻_a
,有_v/東土大唐_l/遠_ad/來_v/取經_v/的_u/一_m/個_q/聖僧_n/孫長老_nr/揭_v/了_u/，_w/現在_t/會同_v/館_n/內_f/，_w/要_v/王_n/親自_d/去_v/請_v/他_r/，_w/他_r/有_v/手到病除_i/之_u/功_v
狐狸缘全传,」_w/言_n/畢_v/起身_v/，_w/付_v/著_u/與_v/他_r/看_v/，_w/朝_p/這些_r/無_d/考究_a/的_u/人_n/作_v/了_u/半截_m/揖_n/，_w/跟_v/著_u/蒼頭_n/便_d/走_v
,玉狐_nr/見_v/周生_nr/說話_v/親切_d/，_w/便_d/知_v/其_r/心_n/已_d/動_v/，_w/乃_d/含笑_vd/答_vd/道_v/：_w/「_w/萍水相逢_i/，_w/何_r/敢_v/周公子_nr/拜訪_v
,倘若_c/妖狐_n/回頭_v/苦_d/煉_v/，_w/向_v/善_an/改_v/惡_an/，_w/山人_n/今日_t/一_m/施_v/恩惠_n/，_w/便_d/可_v/保住_v/了_u/金丹_n/大道_n
,」_w/主意_n/想_v/妥_ad/，_w/頃刻_t/仍_d/復_d/成_v/胡小姐_nr/的_u/模樣_n/，_w/那等_d/好看_a/，_w/真_ad/似_v/生來_a/的_u/秋水_n/為_v/神_n/玉_n/為_v/骨_n/，_w/芙蓉_n/如_v/面_n/柳_n/如_v/眉_n/，_w/整_Bg/注_q/游_Bg/龍_n/不足_d/比喻_v
,」_w/況_c/周生_nr/自_p/與_p/玉狐_nr/相遇_v/，_w/已_d/被_u/他_r/幻術_n/攏住_v/，_w/莫說_v/無_d/人_n/指破_v/，_w/即_d/此_s/有人_r/說_v/他_r/是_v/個_q/妖精_n/，_w/見_v/此等_n/美貌_a/多情_a/，_w/公子_n/亦_d/不_d/相信_v
孽海花,看_v/著_u/那_r/船_n/很_d/寬敞_a/，_w/一_m/個_q/中_f/艙_n/，_w/方方_a/一_m/丈_q/來_d/大_an/，_w/兩_m/面_q/短_a/欄_n/，_w/一_m/排_q/六_m/扇_q/玻璃_n/蕉葉_n/窗_n/，_w/炕_n/床_n/桌_Ng/椅_Ng/，_w/鋪設_v/得_u/很_d/為_v/整齊_a/潔淨_a/，_w/裏面_f/三_m/個_q/房艙_n
,一日_t/，_w/薩克森船_nz/正_d/過_v/地中海_ns/，_w/將_d/近_v/意大利_ns/的_u/火山_n/，_w/時_n/正_d/清早_t/，_w/曉色_n/蒼然_z
,伯黻_nr/，_w/這_r/件_q/事_n/，_w/笑庵_nr/自己_r/和_c/親供_n/一般_a/地_u/全_d/告訴_v/了_u/小玉_nr/，_w/不必_v/他_r/講_v/，_w/叫_v/小玉_nr/替_v/他_r/講_v/得了_y
,況且_c/加克奈夫_nr/又_d/是_v/她_r/素來_d/厭恨_v/的_u/，_w/上回_t/談_v/起_vd/他_r/名氏_n/，_w/還_d/罵_v/他_r/哩_y/，_w/如何_r/倒_d/嫁_v/他_r
,」_w/子固_nr/道_v/：_w/「_w/這_r/事_n/包_v/在_f/我_r/身上_n/，_w/明天_t/就_d/叫_v/人_n/去_v/和_p/他_r/開_v/談判_vn/，_w/料_v/他_r/也_d/不_d/敢_v/不_d/依_v
