,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
19,七,月,三,日,内,人,锦,华,因,小,孩,子,病,得,厉,害,，,赶,回,上,海,；,同,日,我,来,香,山,，,暂,租,一,座,房,子,，,在,这,里,已,有,一,个,月,，,伤,口,将,近,痊,愈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,温,岭,会,毕,后,我,理,当,去,山,东,峄,县,，,要,去,北,方,非,常,危,险,，,平,阳,、,瑞,安,、,南,昌,、,福,建,等,地,都,有,呼,声,，,我,已,经,去,信,取,消,去,峄,县,、,济,南,、,烟,台,领,会,的,邀,请,,,,,,,,,,,,,,,,,,,,
21,使,勁,地,抽,著,，,一,口,煙,還,沒,有,吃,完,，,何,八,爺,的,心,思,又,火,一,樣,地,燃,燒,起,來,了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,假,使,這,回,沒,有,這,個,叫,做,什,麼,「,電,網,」,的,撈,什,子,東,西,，,他,全,家,決,不,會,弄,成,這,個,樣,子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,孩,子,們,，,最,初,是,鬧,著,，,叫,著,，,要,吃,；,隨,後,，,便,躺,在,艙,板,上,抱,著,乾,癟,的,肚,皮,哇,啦,哇,啦,地,哭,起,來,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,只,有,他,，,他,的,父,親,，,他,的,牛,，,…,…,他,拋,下,了,老,娘,和,妻,子,，,他,跑,出,來,當,兵,的,唯,一,目,的,是,要,替,父,親,報,仇,雪,恨,，,作,個,把,大,小,的,官,兒,回,去,吐,氣,揚,眉,的,,,,,,,,,,,,,,,,,,,,,
25,當,那,寒,雲,一,層,層,地,不,住,地,加,厚,的,時,候,，,差,不,多,把,整,個,貧,民,窟,的,人,們,的,心,兒,，,都,吊,起,來,了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,”,賈,母,說,道,：,“,又,胡,說,了,，,帳,子,的,檐,子,是,紅,的,，,火,光,照,著,，,自,然,紅,是,有,的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,”,紫,鵑,听,了,，,赶,著,命,小,丫,頭,們,將,這,風,箏,送,出,与,園,門,上,值,日,的,婆,子,去,了,，,倘,有,人,來,找,，,好,与,他,們,去,的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,”,平,儿,笑,道,：,“,你,只,和,老,太,太,說,，,就,說,已,經,給,了,璉,二,爺,了,，,大,老,爺,就,不,好,要,了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,收,糧,的,時,侯,，,衙,門,里,便,說,新,道,爺,的,法,令,，,明,是,不,敢,要,錢,，,這,一,留,難,叨,蹬,，,那,些,鄉,民,心,里,愿,意,花,几,個,錢,早,早,了,事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,只,見,王,夫,人,气,色,更,變,，,只,帶,一,個,貼,己,的,小,丫,頭,走,來,，,一,語,不,發,，,走,至,里,間,坐,下,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,這,西,門,慶,心,中,大,怒,，,把,孫,雪,娥,打,了,一,頓,，,被,月,娘,再,三,勸,了,，,拘,了,他,頭,面,衣,服,，,只,教,他,伴,著,家,人,媳,婦,上,竈,，,不,許,他,見,人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,其,餘,酒,店,中,家,活,，,共,算,了,五,十,兩,，,陳,敬,濟,狀,上,告,著,九,百,兩,，,還,差,三,百,五,十,兩,銀,子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,這,一,日,你,也,莫,來,，,直,至,第,三,日,，,晌,午,前,後,，,你,整,整,齊,齊,打,扮,了,來,，,以,咳,嗽,為,號,，,你,在,門,前,叫,道,：,‘,怎,的,連,日,不,見,王,乾,娘,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,”,張,川,兒,接,過,來,道,：,“,你,老,人,家,不,說,，,小,的,也,不,敢,說,，,這,個,可,是,使,不,的,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,”,西,門,慶,聽,了,大,喜,道,：,“,雖,然,上,不,得,凌,煙,閣,，,乾,娘,你,這,條,計,，,端,的,絕,品,好,妙,計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,即,將,洞,中,大,小,妖,精,點,起,，,果,然,選,出,三,個,有,能,的,小,妖,，,俱,變,做,老,妖,，,各,執,鐵,杵,，,埋,伏,等,待,唐,僧,不,題,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,」,行,者,上,前,，,奪,過,刀,來,，,把,個,穿,黃,的,割,下,頭,來,，,血,淋,淋,提,在,手,中,，,收,了,鐵,棒,，,拽,開,雲,步,，,趕,到,唐,僧,馬,前,，,提,著,頭,道,：,「,師,父,，,這,是,楊,老,兒,的,逆,子,，,被,老,孫,取,將,首,級,來,也,,,,,,,,,
38,煩,二,位,道,長,將,這,裏,地,名,，,君,王,好,道,愛,賢,之,事,，,細,說,一,遍,，,足,見,同,道,之,情,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,」,好,猴,王,，,將,身,一,縱,，,跳,起,去,，,一,路,觔,斗,，,直,至,北,下,觀,看,，,見,一,座,高,山,，,真,是,十,分,險,峻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,有,東,土,大,唐,遠,來,取,經,的,一,個,聖,僧,孫,長,老,揭,了,，,現,在,會,同,館,內,，,要,王,親,自,去,請,他,，,他,有,手,到,病,除,之,功,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,」,言,畢,起,身,，,付,著,與,他,看,，,朝,這,些,無,考,究,的,人,作,了,半,截,揖,，,跟,著,蒼,頭,便,走,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,玉,狐,見,周,生,說,話,親,切,，,便,知,其,心,已,動,，,乃,含,笑,答,道,：,「,萍,水,相,逢,，,何,敢,周,公,子,拜,訪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,倘,若,妖,狐,回,頭,苦,煉,，,向,善,改,惡,，,山,人,今,日,一,施,恩,惠,，,便,可,保,住,了,金,丹,大,道,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,」,主,意,想,妥,，,頃,刻,仍,復,成,胡,小,姐,的,模,樣,，,那,等,好,看,，,真,似,生,來,的,秋,水,為,神,玉,為,骨,，,芙,蓉,如,面,柳,如,眉,，,整,注,游,龍,不,足,比,喻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,」,況,周,生,自,與,玉,狐,相,遇,，,已,被,他,幻,術,攏,住,，,莫,說,無,人,指,破,，,即,此,有,人,說,他,是,個,妖,精,，,見,此,等,美,貌,多,情,，,公,子,亦,不,相,信,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,看,著,那,船,很,寬,敞,，,一,個,中,艙,，,方,方,一,丈,來,大,，,兩,面,短,欄,，,一,排,六,扇,玻,璃,蕉,葉,窗,，,炕,床,桌,椅,，,鋪,設,得,很,為,整,齊,潔,淨,，,裏,面,三,個,房,艙,,,,,,,,,,,,,,,,,,,,,,,,,,
47,一,日,，,薩,克,森,船,正,過,地,中,海,，,將,近,意,大,利,的,火,山,，,時,正,清,早,，,曉,色,蒼,然,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,伯,黻,，,這,件,事,，,笑,庵,自,己,和,親,供,一,般,地,全,告,訴,了,小,玉,，,不,必,他,講,，,叫,小,玉,替,他,講,得,了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,況,且,加,克,奈,夫,又,是,她,素,來,厭,恨,的,，,上,回,談,起,他,名,氏,，,還,罵,他,哩,，,如,何,倒,嫁,他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,」,子,固,道,：,「,這,事,包,在,我,身,上,，,明,天,就,叫,人,去,和,他,開,談,判,，,料,他,也,不,敢,不,依,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
